gene,DEG,pred,dmr,mcg_genebody,mch_genebody,atac,hic_loop,hic_abc_dmr,hic_abc_peak
Klhl18,0,1,1.319e-42,0.0,6.2642e-41,0.9999349,3e-45,6.502518e-05,0.0
0610009L18Rik,0,-1,3.59084e-40,5.223e-42,3.91056e-40,0.9888954,2.09e-43,0.011104536,0.0
Pex2,0,0,4.3608665e-24,1.1548397e-25,1.35406784e-20,6.425103e-18,1.0,7.6697094e-27,1.0441498e-27
Tcerg1,0,-1,0.0,0.0,0.0,0.0,2.7558209e-27,0.0,1.0
Commd8,0,-1,1.52788e-40,1.532e-42,1.6862314e-36,4.874e-42,3.5036125e-17,2.09e-43,1.0
Klhl32,0,1,7.1182e-41,1.6352e-41,1.943052e-39,1.446931e-32,1.6323048e-17,1.0,0.0
Gskip,0,-1,3.7758498e-36,1.7018885e-37,1.9277838e-32,8.4941273e-35,5.265233e-37,1.6090482e-38,1.0
Abca7,0,-1,3.2013138e-33,3.6321729e-34,1.7161804e-28,1.0,1.073509e-33,8.7283855e-37,0.0
Hif1an,0,0,1.2539385e-24,2.4682097e-25,8.861164e-21,5.945568e-35,0.28754348,1.0544634e-27,0.71245646
Atp10a,0,1,0.00016229656,1.747761e-06,0.9998078,1.9872546e-16,2.3435105e-05,7.407176e-08,4.682709e-06
4921504A21Rik,0,-1,1.8409704e-33,5.091905e-36,9.296878e-31,2.7428677e-35,6.469906e-36,5.7679225e-37,1.0
Ezh1,0,1,4.319233e-22,3.1055352e-23,7.498366e-18,1.0,1.2558085e-22,2.1112312e-25,4.0509174e-33
Akt2,0,0,2.0336185e-21,4.3713348e-20,1.5070015e-15,1.4922344e-18,2.2344537e-23,5.529896e-26,1.0
Tmem161a,0,1,1.1992585e-05,1.0684375e-07,0.99988234,1.1720354e-05,1.7940077e-06,1.4680238e-08,9.197285e-05
Tfeb,0,1,0.0018741302,0.0059713237,0.35210124,0.09634464,2.3070139e-05,1.5850839e-07,0.5436854
Pigs,0,0,2.5240793e-23,4.4193097e-25,2.2780598e-19,2.74635e-38,3.0755415e-24,5.4976907e-27,1.0
Sdk1,0,1,1.5344341e-06,2.4378141e-06,0.00067930453,0.8239399,2.2190772e-08,6.947266e-11,0.17537674
Akap1,0,0,1.1005146e-18,1.272515e-19,4.728493e-14,1.8262124e-25,1.4539731e-19,8.063112e-22,1.0
3010001F23Rik,0,0,2.612902e-21,5.619195e-23,2.2756162e-14,2.6646353e-17,3.333649e-22,2.5535193e-24,1.0
Tdrp,0,0,4.3500196e-24,3.8217504e-26,8.875632e-20,5.906e-42,0.9975127,7.575363e-26,0.0024873163
Maml3,0,0,4.490635e-17,4.905108e-18,5.2655786e-13,1.35544975e-17,6.121949e-18,4.8702394e-19,1.0
Kif3b,0,1,2.1377214e-11,2.2434448e-13,2.441363e-06,0.9999976,3.048175e-12,1.0663213e-14,2.700374e-23
Tax1bp1,0,1,7.059055e-05,1.2819885e-06,0.000482512,0.22255032,1.2186669e-05,1.003669e-06,0.77688205
Fam210a,0,-1,4.1896833e-09,1.0435877e-08,0.00032789772,0.9996712,3.4051262e-11,2.1144975e-14,8.2200904e-07
Ndufb6,0,-1,4.0319812e-35,3.8390287e-36,4.8290685e-30,3.12754e-40,5.5303318e-36,1.5969964e-37,1.0
E230016M11Rik,0,-1,6.406608e-17,5.476996e-18,1.0836282e-12,0.85629267,8.463544e-18,2.9812323e-20,0.14370726
Recql5,0,1,9.401224e-13,1.2064683e-13,1.02077806e-07,1.553756e-12,1.340144e-13,3.1073842e-15,0.9999999
Clptm1,0,1,1.5584469e-06,2.9077426e-05,0.9999691,6.367129e-18,2.2088811e-07,5.985477e-09,1.02424234e-13
Tpi1,0,-1,7.784e-42,1.1889e-41,1.1883052e-36,0.0,1.029e-42,4e-45,1.0
Slc22a17,0,-1,1.335852e-31,5.087932e-33,7.655291e-29,5.75299e-40,1.9547835e-32,1.1003125e-34,1.0
Noa1,0,0,3.303396e-26,3.995356e-26,1.0518028e-22,2.876294e-29,0.0075750905,6.1616164e-30,0.99242496
Htatip2,0,0,4.174763e-31,9.848087e-30,2.6986683e-25,2.8347e-41,5.475095e-32,5.1431177e-33,1.0
Qsox2,0,1,3.829922e-13,1.13092825e-11,6.0656316e-07,2.641409e-12,5.3638382e-14,7.973572e-16,0.9999994
Rbm11,0,-1,9.2777585e-36,1.6707546e-37,2.6353124e-30,7.920607e-33,1.2153718e-36,2.191076e-39,1.0
Zfp444,0,0,4.289301e-24,1.723299e-22,7.1549585e-29,2.6418733e-26,0.05150803,7.52125e-29,0.94849193
4933423P22Rik,0,-1,2.284094e-38,3.31294e-40,4.3864545e-34,4.749141e-31,2.55199e-39,7.9068e-41,1.0
Mlip,0,-1,1.376738e-39,9.2898e-41,6.0721527e-33,1.0,2.8448e-40,1.7094e-41,0.0
Snhg3,0,-1,1.72895e-40,1.2382e-41,1.3341382e-35,0.0,2.1741e-41,2.3e-43,1.0
Snrpg,0,0,9.1061483e-23,8.2393317e-26,3.5928826e-20,1.2685598e-27,9.740175e-25,5.9172974e-26,1.0
Ilkap,0,0,2.8279355e-15,4.0604502e-13,1.2620857e-14,3.705897e-22,4.551256e-16,3.6110492e-19,1.0
Ascc1,0,-1,2.6608349e-18,1.9004426e-21,3.037325e-15,1.0,2.9012814e-20,2.4302013e-22,1.7209404e-35
Arl2,0,0,6.421279e-26,2.1988855e-26,2.673063e-26,4.432e-42,8.2466225e-27,4.241157e-29,1.0
Stk11,0,0,4.3608665e-24,1.4629408e-20,3.6923175e-17,3.5846877e-32,1.0,1.2056387e-27,4.1126103e-09
Ankrd54,0,0,3.7657798e-29,1.2038399e-30,1.2417241e-27,3.44717e-40,5.208418e-30,2.7451643e-32,1.0
2610316D01Rik,0,1,1.3098783e-13,2.8741844e-14,6.70107e-07,9.364941e-06,2.1774996e-14,6.9293145e-17,0.99999
Smarcd3,0,1,0.000107209366,0.114159025,0.87937593,0.006343098,1.4191039e-05,4.7929393e-07,1.2296127e-10
Ppp2r5a,0,-1,3.8280973e-08,6.910149e-09,0.00015919929,0.99984074,5.824259e-09,2.2901039e-11,6.837565e-10
Phyhd1,0,0,4.3608637e-24,1.9587903e-25,1.494106e-20,2.2960883e-37,0.9999994,8.660037e-27,5.761432e-07
Pcgf3,0,1,4.0231694e-06,3.6949602e-06,0.9997563,0.00023599714,2.386162e-08,1.4691894e-11,7.768244e-10
Atox1,0,0,7.8988465e-27,7.1188227e-29,1.0559374e-21,5.8535264e-37,1.1633457e-27,4.8281845e-30,1.0
Sfxn3,0,-1,0.0,0.0,0.0,0.0,0.0,2.1309592e-31,1.0
Mest,0,0,1.2469538e-24,2.0181069e-25,2.8508728e-20,4.0935256e-29,0.28594178,4.3221778e-27,0.7140583
Riok3,0,1,8.606036e-08,2.3380047e-09,7.3924525e-08,1.3086196e-05,1.0816805e-08,1.4569524e-11,0.99998677
Prmt2,0,0,9.417247e-14,1.2013168e-15,2.9583386e-10,1.15126e-09,1.4271848e-14,6.7671355e-17,1.0
Snrk,0,0,4.3608665e-24,4.0014395e-22,1.860272e-17,7.258326e-11,1.0,3.1537223e-28,1.4565263e-27
Vmn2r85,0,-1,1.1e-44,0.0,0.0,0.0,2.7294644e-21,0.0,1.0
Dand5,0,0,3.4633772e-16,2.9120745e-17,1.7466752e-12,4.5861983e-24,6.463875e-17,1.6511285e-19,1.0
Cep57,0,0,1.0270111e-31,7.888825e-33,7.769693e-25,2.5951182e-38,1.3175764e-32,1.6023681e-35,1.0
Ap2a1,0,1,0.049732637,0.75671864,0.1930437,5.076698e-12,0.0004961321,8.867643e-06,8.494204e-08
Npy5r,0,-1,6.21312e-40,3.0114e-41,2.1005649e-38,3.1562226e-30,1.18103e-40,1.1016e-41,1.0
Ppp1r9b,0,0,1.6665415e-21,1.199933e-16,6.4242667e-19,3.3897496e-16,2.4506728e-22,4.1038945e-25,1.0
Psmd1,0,1,7.1182e-41,2.756e-42,7.8823795e-35,4.2711808e-35,1.0532e-41,1.0,0.0
Gm9989,0,-1,1.777e-42,3.01e-43,3.8166e-41,2.1759133e-34,3.5e-43,1e-45,1.0
Ttc19,0,-1,2.1868288e-10,1.4199642e-08,7.098531e-13,0.99075633,3.5828403e-11,6.5532573e-13,0.009243666
Ctdp1,0,-1,7.777493e-08,2.3913735e-06,0.0021850308,0.99707556,5.4594745e-11,6.20314e-14,0.0007369333
Kcnk1,0,-1,2.0221779e-13,1.1261535e-13,7.1613197e-12,1.0,6.679732e-16,1.4649694e-18,2.5309056e-38
Pno1,0,0,6.3172813e-29,1.2439397e-32,3.918797e-28,1.0247583e-36,1.6704029e-31,2.1834392e-33,1.0
Nup205,0,0,4.3608665e-24,4.4839384e-26,5.938229e-21,7.958791e-09,1.0,1.6383726e-27,7.1321397e-22
Hmg20a,0,-1,4.90176e-40,2.3447e-41,5.221731e-36,1.7513e-41,5.6982e-41,7.4e-43,1.0
Tmem126a,0,1,7.1182e-41,1.051e-42,2.6958122e-37,1.02477916e-26,9.033e-42,1.0,0.0
Smim19,0,1,6.4186625e-09,1.04316104e-10,4.2446827e-05,0.99995756,1.1212621e-09,1.7408706e-12,5.348585e-18
Sin3b,0,-1,3.50434e-40,7.7347e-41,1.3248355e-37,0.0,8.035896e-17,1.2e-43,1.0
Tyw5,0,-1,1.8871212e-36,4.0620638e-38,1.898461e-32,9.5458117e-32,2.6366406e-37,9.43124e-40,1.0
Vps9d1,0,1,0.00013478116,8.844726e-06,3.9085025e-05,0.9953023,1.5676522e-05,7.3489446e-08,0.0044992166
Zfp458,0,0,3.8781712e-19,1.06726126e-19,8.563761e-18,6.845135e-15,7.0558616e-20,1.2954053e-22,1.0
Chchd1,0,0,1.6151533e-25,3.6359897e-24,1.5113892e-29,1.0344764e-34,2.0617874e-27,5.530602e-30,1.0
Sgk1,0,0,9.73677e-30,9.25925e-32,2.7203945e-25,1.4348577e-36,4.3562143e-30,9.25469e-33,1.0
Rbmxl1,0,-1,0.0,0.0,0.0,0.0,0.0,2.1309592e-31,1.0
Brd4,0,-1,9.6808456e-30,1.5646861e-30,4.1419376e-26,1.0,1.199595e-30,9.197955e-33,1.4024375e-21
Mgat3,0,-1,0.0,0.0,1.4632e-41,0.0,0.0,0.0,1.0
Tsnax,0,0,6.480298e-23,1.2976735e-25,1.0095354e-24,4.2245503e-25,1.0,6.0764086e-28,5.247867e-30
Rgs4,0,1,3.3229454e-11,1.0568206e-12,1.2952686e-12,7.99137e-21,4.1324505e-12,1.3379903e-14,1.0
Smarca5,0,-1,1.6123e-41,4.426803e-39,9.41e-42,5.6290094e-27,2.175e-42,2e-44,1.0
Mxd4,0,1,4.380945e-05,0.005612636,0.9644475,5.3360413e-11,7.400512e-06,1.0019378e-07,0.029888602
Gm9962,0,0,3.8830663e-29,1.7421484e-29,2.4940042e-25,1.017534e-33,5.482959e-30,5.2164233e-33,1.0
C230037L18Rik,0,-1,4.9195976e-31,1.6326418e-31,3.3864758e-33,2.8860905e-36,1.12812394e-07,4.847938e-35,0.9999999
Apool,0,-1,5.8567354e-32,4.0179476e-35,4.474041e-28,9.4740046e-35,1.4793903e-34,1.4391334e-36,1.0
Nt5c,0,-1,2.302974e-31,9.215656e-33,1.5103145e-25,0.0,5.281001e-08,1.828044e-34,1.0
Aaas,0,-1,3e-44,2e-44,3.01658e-40,0.0,3e-45,0.0,1.0
Wdr13,0,0,3.4266308e-25,3.604071e-27,1.3109912e-28,4.517933e-34,5.0382937e-26,2.2860495e-28,1.0
Bop1,0,-1,1.8798625e-38,2.694185e-39,1.6171742e-34,0.0,4.310771e-15,1.4138e-41,1.0
Ism1,0,1,2.2001102e-10,6.045013e-08,8.897359e-07,1.6055006e-06,3.407726e-11,6.7508594e-14,0.9999975
Tshz1,0,-1,2.7352685e-22,6.549615e-22,3.935868e-17,1.0,2.4034624e-24,2.311322e-27,4.6237368e-32
Zfp382,0,1,1.7075704e-09,2.1498863e-08,2.910354e-09,1.0,2.6433034e-10,2.0108337e-11,1.1704841e-11
Gpsm2,0,-1,5.1155035e-11,1.3431812e-12,1.03672645e-13,0.99999917,7.931101e-12,6.693938e-15,8.240332e-07
Thoc7,0,-1,1.1016302e-36,8.264338e-38,1.0718655e-38,2.2813887e-28,1.7698461e-37,4.4432e-40,1.0
Ubqln2,0,0,7.3153806e-22,1.0609141e-24,2.1375556e-22,1.1946098e-35,1.0,4.2607203e-26,1.3916364e-08
Exog,0,-1,0.0,0.0,0.0,0.0,5.6270042e-30,0.0,1.0
Armc2,0,-1,8.514529e-21,1.304635e-21,1.8651037e-17,1.0,3.735787e-23,2.8991372e-26,2.9496646e-38
Tubg1,0,-1,1.9630124e-07,2.6019206e-11,4.963171e-05,0.81059,3.51053e-10,2.7997327e-12,0.18936008
Cnot6,0,-1,4.4970106e-25,6.9668035e-26,1.0389883e-20,1.0,1.4033805e-27,4.962649e-31,5.7379943e-35
Mt1,0,0,1.1277219e-18,2.3498825e-17,8.354329e-15,1.0249556e-10,1.636443e-19,1.1914325e-21,1.0
Tecr,0,-1,1.6638745e-35,1.3915789e-33,8.916528e-33,0.0,2.366872e-36,3.9099372e-38,1.0
Incenp,0,-1,1e-45,0.0,1.9379678e-38,0.0,0.0,0.0,1.0
Pkn2,0,0,4.3608665e-24,5.975812e-22,2.3196597e-20,1.5143771e-31,1.0,3.4781467e-27,2.11508e-40
Cdk11b,0,-1,7.9725186e-22,2.0607725e-20,8.2744584e-17,1.0,1.00681737e-22,4.7754247e-25,3.2451916e-36
Timmdc1,0,0,4.2959333e-14,1.0994249e-12,2.5344549e-09,6.8352825e-27,6.3686226e-15,9.681421e-18,1.0
Erlec1,0,0,1.6966794e-19,3.2866704e-18,3.5386214e-14,1.0745661e-18,3.140721e-20,5.583298e-23,1.0
Trim28,0,0,1.9392604e-17,1.4902426e-19,8.298225e-14,3.2091037e-32,2.7587892e-18,5.666171e-20,1.0
St6gal1,0,0,4.3608665e-24,2.3700715e-20,1.5446787e-27,4.1644062e-32,1.0,5.8363878e-27,6.072942e-25
Rab38,0,1,5.5599205e-15,8.0094195e-18,4.9252014e-13,1.0,6.298863e-17,2.0145723e-19,6.258448e-35
Ndor1,0,1,7.1182e-41,1.935e-42,3.083529e-39,0.0,1.1954e-41,1.0,6.1815973e-27
Ubp1,0,-1,1.32000925e-20,3.9509087e-18,4.3301748e-20,2.2430496e-34,1.7267262e-21,5.0585003e-24,1.0
Zfp180,0,1,3.8198977e-13,5.067376e-11,4.391236e-13,0.0005612556,4.4766308e-14,5.70189e-16,0.9994387
Ahctf1,0,0,8.137351e-25,1.8165743e-26,2.180931e-28,1.032247e-38,0.18659942,2.1312957e-28,0.81340057
Mrpl21,0,1,2.7720247e-07,4.7622852e-06,0.999995,5.3393148e-11,4.789572e-08,5.646711e-09,2.1641868e-21
Rragd,0,-1,2.02e-43,3e-45,5.2e-44,0.0,4.634643e-20,0.0,1.0
Pros1,0,-1,5.8068394e-11,1.3186497e-12,6.81827e-07,0.9999993,8.80284e-12,1.1069707e-14,2.0280925e-22
Sec11c,0,0,4.3608665e-24,1.5128747e-25,4.0552206e-23,4.7047748e-12,1.0,1.10080825e-26,2.9764061e-24
Greb1l,0,0,2.1473934e-24,2.4365134e-22,2.497908e-25,6.895151e-19,2.460242e-25,1.8087598e-27,1.0
Depdc5,0,-1,1.4084154e-36,2.569632e-39,6.0495614e-34,1.0,5.083787e-38,1.29734e-40,0.0
Zfp612,1,0,1.134248e-28,1.1327077e-30,1.2510335e-27,8.540961e-32,1.3191022e-29,4.415469e-32,1.0
Snrpf,-1,-1,1.44e-43,6e-45,5.049e-42,0.0,2e-44,0.0,1.0
Fus,1,0,2.6196878e-29,3.270149e-26,5.651475e-26,0.0,2.5008765e-30,2.9784156e-32,1.0
Ror1,-1,-1,1.09251e-40,3.83e-43,9.35e-43,0.8153658,4.249e-42,0.18463425,0.0
Tmem259,1,0,4.8543782e-20,1.959625e-21,1.9139227e-22,2.1056207e-29,6.3580923e-21,9.1888435e-24,1.0
Trmt1l,1,1,1.7210223e-09,5.6871705e-11,1.6344778e-06,1.2210688e-07,2.7457975e-10,6.39013e-13,0.9999982
Izumo4,1,-1,0.0,0.0,0.0,0.0,0.0,2.1309592e-31,1.0
Phkg2,1,1,0.0,0.0,0.0,1.0,0.0,0.0,0.0
Rbm10,1,1,3.9063424e-09,1.4371156e-12,8.480852e-09,1.0,4.632638e-12,2.9398474e-15,1.7063684e-36
Setdb1,1,1,3.0022733e-09,1.4102298e-09,3.6457905e-07,0.99999964,8.978552e-12,2.3990678e-14,5.518091e-08
Ccdc93,1,-1,7.1627005e-23,3.2580776e-22,3.98949e-22,1.0,2.7923213e-25,3.8819574e-28,3.9177e-40
Klf12,1,0,2.362039e-27,1.8660114e-28,9.112824e-22,1.8e-44,3.6152502e-28,2.0633422e-30,1.0
Kcnt2,1,0,1.3250544e-24,1.7680918e-26,6.85234e-21,1.799e-42,0.3038512,4.6704673e-28,0.69614875
Nbr1,1,1,4.371686e-12,2.2759572e-12,3.3121355e-16,5.684394e-22,5.359761e-14,4.532233e-16,1.0
Pcdh20,1,-1,9.1814365e-27,2.019056e-28,1.217403e-23,1.0,1.7174846e-27,1.584943e-30,4.8119683e-37
Lrp1,1,-1,0.0,0.0,0.0,8.068205e-33,0.0,2.1309592e-31,1.0
1700109K24Rik,1,-1,3.96e-42,1.01e-43,2.2072389e-38,0.9443555,8.48e-43,0.055644464,0.0
Habp4,1,1,1.9196841e-07,5.393217e-08,0.99999976,3.676247e-20,2.2030529e-08,1.6392303e-10,4.9766233e-22
Serinc1,-1,-1,0.0,0.0,3.78464e-40,5.756192e-27,1.2069664e-23,0.0,1.0
Tubgcp5,1,1,6.762487e-18,7.343106e-17,2.1325417e-19,1.0,1.5004427e-18,1.3570043e-21,2.5151566e-33
Rnf216,-1,0,3.9226658e-23,1.7228057e-20,5.8582028e-27,9.570372e-20,5.9063657e-24,3.3056813e-26,1.0
Ywhag,1,0,7.095893e-27,9.9937e-25,9.373171e-20,1.0116474e-25,9.01481e-28,6.662736e-30,1.0
Cul9,-1,-1,4.6780414e-33,7.691154e-35,9.078202e-36,2.0730916e-32,1.0727361e-09,3.1002946e-36,1.0
Setd1a,1,1,8.760626e-10,1.9544217e-09,3.553135e-06,0.37530148,1.0768491e-11,2.6871719e-14,0.624695
Galnt13,1,1,3.051489e-14,2.2651896e-13,1.6496125e-10,1.0,6.680398e-15,1.05093694e-16,1.7130987e-29
Tbc1d5,-1,0,7.703708e-16,3.1163162e-12,5.988999e-12,1.3058944e-14,8.8531526e-17,2.1514495e-19,1.0
Ank,1,1,1.9317298e-13,2.9969134e-13,3.6561033e-08,1.4069669e-19,1.7673831e-15,2.564568e-18,1.0
Myo18a,1,-1,1.3610896e-36,3.7691975e-38,3.7287083e-32,1.0,2.9164472e-37,3.71668e-40,0.0
Ubr4,1,-1,2.8572369e-36,3.562143e-39,1.3440687e-35,1.0,6.846413e-38,1.931892e-39,0.0
Sox5,1,-1,1.3311982e-30,7.9938565e-32,6.494564e-27,1.0,1.7310175e-31,1.7745608e-34,0.0
Chrna5,-1,0,4.3608665e-24,3.0390079e-21,3.1267975e-18,1.3592164e-10,1.0,5.592325e-27,4.9853014e-17
Kcnj6,-1,1,3.97155e-40,2.895057e-39,1.0780704e-34,5.2387827e-06,2.3403e-41,0.99999475,0.0
Srcap,1,1,2.304307e-06,1.896405e-05,0.99932444,0.0006541163,1.5003788e-07,4.820446e-10,1.04046316e-20
Sept7,1,1,0.0047403737,0.00012497227,0.9944512,6.819074e-10,0.0006808535,2.5307693e-06,1.043483e-07
Gprasp2,1,-1,0.0,0.0,0.0,0.0,2.168351e-24,0.0,1.0
Ldlr,1,1,1.6245233e-11,2.6103556e-14,1.3476502e-08,1.5011754e-18,1.7501358e-13,1.8750992e-16,1.0
Chchd2,-1,-1,5.3904755e-33,1.3758748e-34,3.961764e-31,3.177e-42,1.2361068e-09,1.9534675e-36,1.0
Syne1,1,-1,3.666e-42,8e-45,1.266618e-39,1.0,7.3e-44,0.0,0.0
Pabpc1,1,0,4.680407e-29,1.9734267e-30,7.505575e-26,9.48e-41,5.9473834e-30,1.0668314e-31,1.0
Cpeb3,1,-1,3.6030502e-29,1.404503e-30,2.2011345e-26,1.0,4.7722573e-32,1.3379416e-33,0.0
Caln1,1,1,1.0930238e-06,3.232483e-07,0.0005591428,0.9994394,6.6434896e-10,1.6823967e-12,3.133472e-33
Ube2o,1,1,7.2894e-40,1.78e-43,2.8309354e-38,1.0,1.124e-42,3.6e-44,0.0
Dhx29,1,1,9.46211e-40,4.29e-43,2.3011343e-38,0.6836819,8.036e-42,0.31631812,0.0
Nnat,1,1,1.304453e-39,1.45e-42,2.2228405e-38,1.5683808e-13,1.6873e-41,1.0,0.0
Tbc1d8,1,-1,1.0013164e-31,2.864127e-33,4.0644767e-33,1.0,1.4496381e-32,5.616203e-35,0.0
Sgsm1,1,1,0.0003302573,3.622154e-06,0.9996126,8.662362e-10,5.3366686e-05,7.9345725e-08,8.854572e-09
Crlf1,1,-1,6.3529945e-11,6.732e-13,4.476451e-07,0.9999995,8.325132e-12,1.66957e-13,1.3940047e-09
Pebp1,-1,-1,0.0,0.0,1.53e-43,0.0,6.0395846e-24,0.0,1.0
Cdh18,1,1,7.1182e-41,5.786e-42,2.3002276e-37,7.777336e-27,1.2505e-41,1.0,0.0
Dip2a,-1,-1,6.096218e-34,6.417599e-28,1.5055902e-27,1.7133846e-31,9.728243e-35,3.745821e-37,1.0
Adam15,-1,-1,0.0,0.0,0.0,0.0,0.0,2.1309592e-31,1.0
Gabra3,1,-1,1.355e-42,3.9e-44,4.235186e-39,1.0,2.21e-43,1e-45,0.0
Cs,1,-1,6.8472417e-25,1.7049327e-26,9.655111e-21,1.0,1.2625554e-25,2.786138e-26,4.220251e-39
Zfp523,1,0,1.545879e-30,1.4095405e-26,3.1185472e-30,6.8780648e-37,2.5540264e-31,3.4362756e-34,1.0
Smdt1,1,1,7.1182e-41,2.406e-42,3.314478e-36,0.0,1.6323048e-17,1.0,0.0
Shisa9,1,0,6.1732597e-18,3.708935e-16,7.020291e-19,3.394402e-27,1.0335775e-18,3.3953317e-21,1.0
Zbtb18,1,1,2.8051692e-10,4.9582174e-09,1.1947949e-05,9.2293633e-20,4.4282664e-11,5.6634737e-14,0.9999881
Shank3,-1,-1,0.0,0.0,0.0,0.0,0.0,2.1309592e-31,1.0
Kansl1l,-1,-1,5.7716317e-33,1.658351e-25,4.24506e-28,5.323089e-31,8.784148e-34,1.336027e-36,1.0
Zdhhc20,1,-1,6.608798e-21,3.12452e-18,2.355878e-17,1.0,1.1101433e-21,1.589151e-22,1.3162042e-33
Spock2,-1,-1,2.4012983e-13,1.4927663e-14,4.6644644e-07,0.9999995,2.875561e-14,1.422494e-17,2.546844e-17
St3gal3,1,1,0.7671828,0.0073906467,0.070420325,0.048876334,0.10584901,0.00028001628,7.1913126e-07
Cntnap5c,1,-1,3.3227674e-09,3.893594e-06,0.00016807482,0.9998215,4.85511e-10,7.7654495e-13,6.5044633e-06
Luc7l3,-1,-1,1.9450185e-38,5.57459e-40,1.284e-41,1.0,6.29848e-39,4.093e-42,0.0
Cpne4,1,1,0.00010141848,3.818293e-05,0.578486,4.1975934e-10,1.5936e-05,8.109308e-09,0.42135847
Fmnl1,1,1,1.7541561e-07,0.0049906727,0.99500823,9.894101e-07,2.2590182e-08,3.19674e-10,1.8540609e-16
Ctdspl2,1,1,7.1182e-41,2.881e-42,9.56e-43,1.5766e-41,1.6323048e-17,1.0,6.08382e-39
Uchl3,-1,-1,2.3331606e-14,1.900172e-12,2.424547e-08,1.0,2.6086772e-15,3.6670914e-18,2.9605166e-18
Marf1,1,1,0.0012780958,1.3779214e-05,0.6043038,3.0548198e-16,0.00021942105,1.0292515e-05,0.39417458
Rps20,-1,-1,0.0,0.0,2.143e-42,0.0,0.0,0.0,1.0
Rps27,-1,-1,0.0,0.0,0.0,0.0,0.0,2.1309592e-31,1.0
Atp2b2,-1,-1,5.33258e-39,7.23329e-40,1.02076754e-35,1.0,4.589e-42,0.0,0.0
Gbf1,-1,-1,0.0,0.0,0.0,4.445669e-33,0.0,2.1309592e-31,1.0
Dnajc7,-1,-1,5.312831e-36,3.0217372e-36,1.0181096e-31,1.0,6.927456e-39,2.329e-42,0.0
Celf3,-1,-1,4.270949e-39,1.062823e-39,2.5681122e-35,0.52188236,1.2861e-41,0.4781176,0.0
Eif1,1,-1,4.645066e-21,1.8740209e-22,4.1843547e-19,1.0,5.294715e-24,1.6446101e-26,7.6e-44
Tfdp2,-1,-1,9.08268e-19,1.6430869e-18,1.36344064e-14,1.0,1.0706855e-21,8.954199e-24,3.687377e-32
Kcnd3,-1,1,2.089208e-39,1.314826e-39,1.2781292e-34,2.514253e-12,9.188e-42,1.0,0.0
Pou2f2,1,1,2.2733048e-32,1.7386376e-35,2.863431e-31,1.0,2.1451064e-34,1.7998324e-35,0.0
St6gal2,1,1,3.4611192e-12,1.69598e-12,1.0378522e-11,1.0,8.904305e-15,8.95351e-18,4.3855787e-29
Taok3,1,-1,1.7690559e-15,1.3439784e-17,6.3404757e-16,1.0,6.2809602e-18,1.0680182e-20,2.4076532e-19
Fat3,1,-1,7.4e-44,0.0,2.2034e-41,1.0,0.0,0.0,0.0
Magi3,1,1,0.00042521625,3.965063e-06,0.26476258,0.73479754,1.0600227e-05,8.7079414e-08,4.1243384e-25
Mink1,1,0,4.3608665e-24,5.7540524e-23,9.342569e-22,1.0983793e-19,1.0,1.1300083e-26,3.922947e-32
Fbln2,1,0,8.3787296e-26,3.1018107e-20,3.332952e-28,2.1812144e-20,9.816109e-27,3.2032013e-29,1.0
Gm14329,-1,-1,2.2672356e-38,3.929898e-39,1.2026492e-33,0.0,2.929937e-39,8.22e-42,1.0
Agfg2,-1,-1,4.0946258e-23,2.784996e-22,1.574408e-17,1.0,4.7695625e-25,4.774275e-26,1.4438598e-17
4930419G24Rik,1,-1,1.2076025e-22,2.787927e-24,3.9209082e-19,1.0,1.3810937e-23,1.3775039e-25,0.0
Ndrg4,1,1,6.313698e-12,1.0717519e-10,2.5361436e-12,1.0,6.619355e-14,2.1699237e-16,8.991301e-32
Sgsm2,1,-1,4.405679e-16,3.9826576e-17,1.0148435e-11,1.0,7.379133e-17,1.2349234e-17,4.6248396e-28
Snd1,-1,0,2.557122e-27,6.8039933e-25,8.041733e-22,6.892974e-25,3.2211913e-28,3.043903e-29,1.0
Kcmf1,1,1,2.8459313e-10,7.837158e-09,1.018374e-06,0.9999989,5.383459e-12,1.00673584e-14,1.968405e-12
Sh3bgrl3,-1,-1,1.0151401e-29,1.7908141e-26,1.6184237e-23,1.0,2.9622933e-31,1.9325024e-33,1.4389e-41
Sfi1,1,-1,7.498573e-16,2.4076834e-13,2.9160683e-15,1.0,1.2963782e-16,5.583736e-19,9.7806076e-18
Shisa6,1,1,7.1182e-41,5.180357e-39,8.4e-44,1.1347166e-26,1.6323048e-17,1.0,0.0
Plxna4os3,-1,-1,1.017e-42,1.187e-42,8.1e-44,0.0,1.29e-43,0.0,1.0
4930512B01Rik,1,-1,0.0,0.0,0.0,0.0,0.0,2.1309592e-31,1.0
Pitrm1,-1,0,8.186646e-31,3.0464122e-29,3.031373e-24,3.3255396e-33,1.2354046e-31,6.354704e-34,1.0
Atp5g1,1,-1,6.087461e-15,2.1077212e-16,1.0227201e-10,0.9745744,1.124483e-15,3.9359676e-17,0.025425607
Grid2,-1,-1,0.0,0.0,0.0,0.0,0.0,2.1309592e-31,1.0
Gapvd1,1,1,7.1182e-41,2.216075e-39,4.32e-43,6.012475e-34,9.427e-42,1.0,0.0
