gene_name,gene_length.meta,9mo.2mo.contact.log_ratio.median.5kb-20kb.enhancer_DMR,18mo.9mo.activity.log_ratio.count.5kb-20kb.enhancer_DMR,18mo.2mo.contact.log_ratio.count.5kb-20kb.enhancer_DMR,9mo.2mo.contact.log_ratio.count.5kb-20kb.enhancer_DMR,18mo.9mo.contact.log_ratio.max.5kb-20kb.enhancer_DMR,9mo.2mo.contact.log_ratio.max.5kb-20kb.enhancer_DMR,18mo.9mo.activity.log_ratio.mean.5kb-20kb.enhancer_DMR,18mo.2mo.activity.log_ratio.min.5kb-20kb.enhancer_DMR,18mo.9mo.activity.log_ratio.count.0-5kb.enhancer_DMR,18mo.9mo.activity.log_ratio.min.5kb-20kb.enhancer_DMR,count.enhancer_DMR,18mo.9mo.contact.log_ratio.mean.5kb-20kb.enhancer_DMR,18mo.2mo.contact.log_ratio.mean.5kb-20kb.enhancer_DMR,9mo.2mo.activity.log_ratio.mean.5kb-20kb.enhancer_DMR,9mo.2mo.activity.log_ratio.median.20kb-5Mb.enhancer_peak,18mo.9mo.activity.log_ratio.max.20kb-5Mb.enhancer_peak,18mo.2mo.contact.log_ratio.mean.20kb-5Mb.enhancer_peak,18mo.9mo.contact.log_ratio.count.20kb-5Mb.enhancer_peak,9mo.2mo.contact.log_ratio.mean.20kb-5Mb.enhancer_peak,18mo.9mo.activity.log_ratio.min.20kb-5Mb.enhancer_peak,18mo.9mo.activity.log_ratio.median.20kb-5Mb.enhancer_peak,18mo.2mo.activity.log_ratio.count.0-5kb.enhancer_peak,18mo.9mo.contact.log_ratio.min.20kb-5Mb.enhancer_peak,18mo.9mo.contact.log_ratio.std.20kb-5Mb.enhancer_peak,18mo.2mo.contact.log_ratio.max.20kb-5Mb.enhancer_peak,18mo.2mo.activity.log_ratio.mean.20kb-5Mb.enhancer_peak,18mo.2mo.contact.log_ratio.min.20kb-5Mb.enhancer_peak,18mo.9mo.contact.log_ratio.median.20kb-5Mb.enhancer_peak,18mo.2mo.activity.log_ratio.std.20kb-5Mb.enhancer_peak,18mo.9mo.activity.log_ratio.std.20kb-5Mb.enhancer_peak,9mo.2mo.contact.log_ratio.max.20kb-5Mb.enhancer_peak,18mo.2mo.activity.log_ratio.max.20kb-5Mb.enhancer_peak,count.enhancer_peak,18mo.9mo.contact.log_ratio.max.20kb-5Mb.enhancer_peak,9mo.2mo.activity.log_ratio.max.20kb-5Mb.enhancer_peak,18mo.9mo.contact.log_ratio.mean.20kb-5Mb.enhancer_peak,18mo.9mo.activity.log_ratio.count.0-5kb.enhancer_peak,9mo.2mo.activity.log_ratio.min.20kb-5Mb.enhancer_peak,18mo.2mo.contact.log_ratio.std.20kb-5Mb.enhancer_peak,18mo.9mo.activity.log_ratio.mean.20kb-5Mb.enhancer_peak,18mo.2mo.activity.log_ratio.min.20kb-5Mb.enhancer_peak,9mo.2mo.log_ratio.DAR,18mo.2mo.log_ratio.DAR,rel_pos.DAR,9mo.2mo.log_ratio.DMR,size.log2.DMR,18mo.2mo.log_ratio.DMR,rel_pos.DMR,distance.log2.DMR,18mo.9mo.Q.std.loops,9mo.2mo.Q.median.loops,loop_size.log.max.loops,Tanova.std.loops,18mo.2mo.Q.mean.loops,18mo.9mo.Q.max.loops,18mo.2mo.Q.median.loops,18mo.9mo.Q.mean.loops,18mo.9mo.T.median.loops,Qanova.min.loops,18mo.2mo.T.median.loops,9mo.2mo.T.min.loops,loop_size.log.min.loops,Tanova.median.loops,Tanova.min.loops,Tanova.max.loops,Qanova.mean.loops,9mo.2mo.Q.mean.loops,loop_size.log.median.loops,18mo.9mo.Q.median.loops,min_distance.log.std.loops,min_distance.log.mean.loops,9mo.2mo.T.median.loops,18mo.2mo.Q.min.loops,18mo.9mo.T.min.loops,Qanova.median.loops,loop_size.log.std.loops,18mo.2mo.T.min.loops,min_distance.log.median.loops,18mo.2mo.T.mean.loops,18mo.2mo.Q.std.loops,min_distance.log.min.loops,18mo.9mo.T.std.loops,18mo.2mo.Q.max.loops,18mo.9mo.Q.min.loops,9mo.2mo.Q.min.loops,9mo.2mo.Q.max.loops,9mo.2mo.T.mean.loops,9mo.2mo.Q.std.loops,18mo.2mo.T.std.loops,loop_size.log.mean.loops,min_distance.log.max.loops,18mo.9mo.log_ratio.mcg_genebody,18mo.2mo.log_ratio.mcg_genebody,9mo.2mo.log_ratio.mcg_genebody,18mo.2mo.log_ratio.mch_genebody,9mo.2mo.log_ratio.mch_genebody,18mo.9mo.log_ratio.mch_genebody,18mo.2mo.log_ratio.mean.atac,18mo.2mo.log_ratio.max.atac,log2_distance.max.atac,18mo.2mo.log_ratio.std.atac,9mo.2mo.log_ratio.min.atac,9mo.2mo.log_ratio.std.atac,18mo.9mo.log_ratio.std.atac,count.atac,18mo.2mo.log_ratio.min.atac,log2_distance.mean.atac,log2_distance.std.atac,log2_distance.min.atac,9mo.2mo.log_ratio.mean.atac,18mo.9mo.log_ratio.max.atac,18mo.9mo.log_ratio.mean.atac,9mo.2mo.log_ratio.max.atac,DEG,pred
Dctn4,0.007845710590481758,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010312558002769947,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011718386113643646,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0045627286657691,0.0,0.0,0.0,0.0,0.0,0.0,0.03187228322029114,0.0,0.0,0.0,0.0016903983056545259,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004745011031627655,0.0,0.0,0.0,-0.007262922823429108,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.04169819228351116,-0.41458033010363576,0.0,0.0,0.0,0.0,0.0,-0.031386202201247215,0.0,-0.012484462689608336,0.017769293189048768,0.013750511147081852,0.0,0.0,0.0010676274821162224,0.0,0.0,0.0,0.0,1.0,0.0
Vma21,0.020910933315753936,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03959284119307995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.05338375896215439,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0069961842335760594,0.0,0.0,0.0,0.0,0.0,0.0,0.02297604575753212,0.0,0.0,0.0,0.010987588986754417,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.019691795781254767,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.049255128838121894,0.030990370213985444,0.0,0.0,0.0,0.0,0.0,0.0038908515125513077,0.0,0.07771766889840365,0.04874953836202622,0.013750511147081852,0.0,0.0,0.0035587582737207414,0.0,0.0,0.0,0.0,1.0,1.0
Ggct,0.011320303976535797,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.08066714480519295,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011718386113643646,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.02509500864893198,0.0,0.0,0.0,0.0,0.0,0.0,0.02985909778624773,0.0,0.0,0.0,0.010987588986754417,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007473392374813557,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011995167843997479,0.031726802289485934,0.0,0.0,0.0,0.0,0.0,-0.0007781703025102615,0.0,0.08460072044283151,0.04874953836202622,-0.04924601666629314,0.0,0.0,0.0016607538610696792,0.0,0.0,0.0,0.0,1.0,1.0
Ran,0.020910933315753936,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.025600473470985888,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011718386113643646,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006844093278050423,0.0,0.0,0.0,0.0,0.0,0.0,0.02297604575753212,0.0,0.0,0.0,0.010987588986754417,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.019691795781254767,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.049255128838121894,0.03114246129989624,0.0,0.0,0.0,0.0,0.0,0.0038908515125513077,0.0,0.07771766889840365,0.04874953836202622,0.013750511147081852,0.0,0.0,0.0035587582737207414,0.0,0.0,0.0,0.0,1.0,1.0
Ppp5c,0.012175174579024315,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.011996930092573166,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011718386113643646,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.031787010841071606,0.0,0.0,0.0,0.0,0.0,0.0,-0.016179097332060337,0.0,0.0,0.0,0.0025355974584817887,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0233691793307662,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03907318077981472,0.02600579507648945,0.0,0.0,0.0,0.0,0.0,-0.0007781703025102615,0.0,-0.031176999248564242,-0.010484215840697288,0.013750511147081852,0.0,0.0,0.0010676274821162224,0.0,0.0,0.0,0.0,1.0,2.0
Bet1l,0.020910933315753936,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.025600473470985888,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011718386113643646,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006844093278050423,0.0,0.0,0.0,0.0,0.0,0.0,-0.008571064230054617,0.0,0.0,0.0,0.010987588986754417,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.019691795781254767,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.030203821286559105,0.029890045672655106,0.0,0.0,0.0,0.0,0.0,0.0038908515125513077,0.0,0.12956850193440914,0.04874953836202622,0.013750511147081852,0.0,0.0,0.0035587582737207414,0.0,0.0,0.0,0.0,1.0,1.0
Il1rapl2,-0.12349410936236381,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01683787361718714,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011718386113643646,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.004638774143531918,0.0,0.0,0.0,0.0,0.0,0.0,0.02297604575753212,0.0,0.0,0.0,0.010987588986754417,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008303769305348397,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.028970206677913665,0.026560839414596558,0.0,0.0,0.0,0.0,0.0,0.0038908515125513077,0.0,0.07771766889840365,0.04874953836202622,0.013750511147081852,0.0,0.0,0.0014235033094882965,0.0,0.0,0.0,0.0,1.0,1.0
Rpl23a,0.012293799817562102,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.009980300404131413,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011718386113643646,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.031787010841071606,0.0,0.0,0.0,0.0,0.0,0.0,-0.008571064230054617,0.0,0.0,0.0,0.010987588986754417,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004389135204255581,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.04270859654992819,0.026837831437587736,0.0,0.0,0.0,0.0,0.0,0.0038908515125513077,0.0,0.12956850193440914,0.06448457356542349,0.013750511147081852,0.0,0.0,0.0010676274821162224,0.0,0.0,0.0,0.0,1.0,1.0
Cbfa2t3,0.020910933315753936,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03959284119307995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011718386113643646,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0069961842335760594,0.0,0.0,0.0,0.0,0.0,0.0,0.04828944129869342,0.0,0.0,0.0,0.0025355974584817887,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.019691795781254767,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06660069594159722,0.026189226061105728,0.0,0.0,0.0,0.0,0.0,0.0038908515125513077,0.0,-0.02269710574299097,-0.05544984929263592,0.013750511147081852,0.0,0.0,0.0035587582737207414,0.0,0.0,0.0,0.0,1.0,2.0
Gm9929,0.020910933315753936,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.025600473470985888,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011718386113643646,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006844093278050423,0.0,0.0,0.0,0.0,0.0,0.0,-0.025520383417606353,0.0,0.0,0.0,0.0025355974584817887,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.019691795781254767,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011521249338984489,0.02402569491416216,0.0,0.0,0.0,0.0,0.0,0.0038908515125513077,0.0,-0.03855170004069805,0.04874953836202622,0.013750511147081852,0.0,0.0,0.0035587582737207414,0.0,0.0,0.0,0.0,1.0,1.0
Rtn2,0.020910933315753936,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.025600473470985888,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011718386113643646,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006844093278050423,0.0,0.0,0.0,0.0,0.0,0.0,-0.006420110389590263,0.0,0.0,0.0,-0.09156324155628681,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.019691795781254767,0.0,0.0,0.0,0.0025939010083675385,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.052881022226065395,0.025360756032168866,0.0,0.0,0.0,0.0,0.0,0.0025939010083675385,0.0,0.04148368518799543,0.04874953836202622,0.013750511147081852,0.0,0.0,0.0035587582737207414,0.0,0.0,0.0,0.0,1.0,2.0
Pcdh8,0.014666304737329484,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.05161777278408408,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011718386113643646,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.031787010841071606,0.0,0.0,0.0,0.0,0.0,0.0,-0.006420110389590263,0.0,0.0,0.0,0.010987588986754417,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007473392374813557,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.030223594550043344,0.03300467118620873,0.0,0.0,0.0,0.0,0.0,-0.0007781703025102615,0.0,0.10431015469133854,0.04874953836202622,0.013750511147081852,0.0,0.0,0.0016607538610696792,0.0,0.0,0.0,0.0,1.0,0.0
Eif3d,0.008947798684239387,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.039029673505574465,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011718386113643646,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.02509500864893198,0.0,0.0,0.0,0.0,0.0,0.0,0.07219575796276331,0.0,0.0,0.0,0.0025355974584817887,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004389135204255581,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.041725303195416924,0.022836613059043883,0.0,0.0,0.0,0.0,0.0,0.0038908515125513077,0.0,-0.024233501143753527,0.06448457356542349,0.013750511147081852,0.0,0.0,0.0010676274821162224,0.0,0.0,0.0,0.0,1.0,2.0
Zfp82,0.014666304737329484,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.05161777278408408,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011718386113643646,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.031787010841071606,0.0,0.0,0.0,0.0,0.0,0.0,-0.016179097332060337,0.0,0.0,0.0,0.0025355974584817887,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007473392374813557,0.0,0.0,0.0,0.0025939010083675385,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04417406763881445,0.022464920543134214,0.0,0.0,0.0,0.0,0.0,0.0025939010083675385,0.0,-0.031176999248564242,0.04874953836202622,0.013750511147081852,0.0,0.0,0.0016607538610696792,0.0,0.0,0.0,0.0,1.0,2.0
Ubash3b,0.010946410074830056,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01567798529751599,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.05338375896215439,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0069961842335760594,0.0,0.0,0.0,0.0,0.0,0.0,-0.016179097332060337,0.0,0.0,0.0,0.0025355974584817887,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.027592239151708782,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05342057180590928,0.02515735976397991,0.0,0.0,0.0,0.0,0.0,-0.0007781703025102615,0.0,-0.031176999248564242,-0.05544984929263592,0.013750511147081852,0.0,0.0,-0.027592239151708782,0.0,0.0,0.0,0.0,1.0,2.0
Tppp,0.007845710590481758,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010312558002769947,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011718386113643646,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0045627286657691,0.0,0.0,0.0,0.0,0.0,0.0,-0.005016418024897575,0.0,0.0,0.0,0.004507728815078735,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004745011031627655,0.0,0.0,0.0,-0.007262922823429108,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.04218983896076679,-0.4501391637325287,0.0,0.0,0.0,0.0,0.0,-0.031386202201247215,0.0,0.05763738714158535,0.017769293189048768,0.013750511147081852,0.0,0.0,0.0010676274821162224,0.0,0.0,0.0,0.0,1.0,0.0
Il18bp,0.01331891629844904,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0075694314390420915,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011718386113643646,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006844093278050423,0.0,0.0,0.0,0.0,0.0,0.0,0.02297604575753212,0.0,0.0,0.0,-0.09156324155628681,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00854101985692978,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.028970206677913665,0.024870175272226333,0.0,0.0,0.0,0.0,0.0,0.0038908515125513077,0.0,0.01489119689911604,0.04874953836202622,0.013750511147081852,0.0,0.0,-0.07912305895239115,0.0,0.0,0.0,0.0,1.0,2.0
Plxnb2,0.014666304737329484,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.05161777278408408,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011718386113643646,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.031787010841071606,0.0,0.0,0.0,0.0,0.0,0.0,-0.016179097332060337,0.0,0.0,0.0,0.0025355974584817887,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007473392374813557,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04417406763881445,0.023761870972812175,0.0,0.0,0.0,0.0,0.0,0.0038908515125513077,0.0,-0.031176999248564242,0.04874953836202622,0.013750511147081852,0.0,0.0,0.0016607538610696792,0.0,0.0,0.0,0.0,1.0,2.0
Zfp334,0.020910933315753936,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.025600473470985888,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011718386113643646,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006844093278050423,0.0,0.0,0.0,0.0,0.0,0.0,-0.006420110389590263,0.0,0.0,0.0,0.010987588986754417,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.019691795781254767,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.052881022226065395,0.0303202360868454,0.0,0.0,0.0,0.0,0.0,0.0038908515125513077,0.0,0.10431015469133854,0.04874953836202622,0.013750511147081852,0.0,0.0,0.0035587582737207414,0.0,0.0,0.0,0.0,1.0,1.0
Calhm2,0.011320303976535797,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.08066714480519295,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011718386113643646,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.02509500864893198,0.0,0.0,0.0,0.0,0.0,0.0,-0.016179097332060337,0.0,0.0,0.0,0.0025355974584817887,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007473392374813557,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04417406763881445,0.019952717162668707,0.0,0.0,0.0,0.0,0.0,0.0038908515125513077,0.0,-0.031176999248564242,-0.010484215840697288,0.013750511147081852,0.0,0.0,0.0016607538610696792,0.0,0.0,0.0,0.0,1.0,2.0
