gene_name,gene_length.meta,9mo.2mo.contact.log_ratio.median.5kb-20kb.enhancer_DMR,18mo.9mo.activity.log_ratio.count.5kb-20kb.enhancer_DMR,18mo.2mo.contact.log_ratio.count.5kb-20kb.enhancer_DMR,9mo.2mo.contact.log_ratio.count.5kb-20kb.enhancer_DMR,18mo.9mo.contact.log_ratio.max.5kb-20kb.enhancer_DMR,9mo.2mo.contact.log_ratio.max.5kb-20kb.enhancer_DMR,18mo.9mo.activity.log_ratio.mean.5kb-20kb.enhancer_DMR,18mo.2mo.activity.log_ratio.min.5kb-20kb.enhancer_DMR,18mo.9mo.activity.log_ratio.count.0-5kb.enhancer_DMR,18mo.9mo.activity.log_ratio.min.5kb-20kb.enhancer_DMR,count.enhancer_DMR,18mo.9mo.contact.log_ratio.mean.5kb-20kb.enhancer_DMR,18mo.2mo.contact.log_ratio.mean.5kb-20kb.enhancer_DMR,9mo.2mo.activity.log_ratio.mean.5kb-20kb.enhancer_DMR,9mo.2mo.activity.log_ratio.median.20kb-5Mb.enhancer_peak,18mo.9mo.activity.log_ratio.max.20kb-5Mb.enhancer_peak,18mo.2mo.contact.log_ratio.mean.20kb-5Mb.enhancer_peak,18mo.9mo.contact.log_ratio.count.20kb-5Mb.enhancer_peak,9mo.2mo.contact.log_ratio.mean.20kb-5Mb.enhancer_peak,18mo.9mo.activity.log_ratio.min.20kb-5Mb.enhancer_peak,18mo.9mo.activity.log_ratio.median.20kb-5Mb.enhancer_peak,18mo.2mo.activity.log_ratio.count.0-5kb.enhancer_peak,18mo.9mo.contact.log_ratio.min.20kb-5Mb.enhancer_peak,18mo.9mo.contact.log_ratio.std.20kb-5Mb.enhancer_peak,18mo.2mo.contact.log_ratio.max.20kb-5Mb.enhancer_peak,18mo.2mo.activity.log_ratio.mean.20kb-5Mb.enhancer_peak,18mo.2mo.contact.log_ratio.min.20kb-5Mb.enhancer_peak,18mo.9mo.contact.log_ratio.median.20kb-5Mb.enhancer_peak,18mo.2mo.activity.log_ratio.std.20kb-5Mb.enhancer_peak,18mo.9mo.activity.log_ratio.std.20kb-5Mb.enhancer_peak,9mo.2mo.contact.log_ratio.max.20kb-5Mb.enhancer_peak,18mo.2mo.activity.log_ratio.max.20kb-5Mb.enhancer_peak,count.enhancer_peak,18mo.9mo.contact.log_ratio.max.20kb-5Mb.enhancer_peak,9mo.2mo.activity.log_ratio.max.20kb-5Mb.enhancer_peak,18mo.9mo.contact.log_ratio.mean.20kb-5Mb.enhancer_peak,18mo.9mo.activity.log_ratio.count.0-5kb.enhancer_peak,9mo.2mo.activity.log_ratio.min.20kb-5Mb.enhancer_peak,18mo.2mo.contact.log_ratio.std.20kb-5Mb.enhancer_peak,18mo.9mo.activity.log_ratio.mean.20kb-5Mb.enhancer_peak,18mo.2mo.activity.log_ratio.min.20kb-5Mb.enhancer_peak,9mo.2mo.log_ratio.DAR,18mo.2mo.log_ratio.DAR,rel_pos.DAR,9mo.2mo.log_ratio.DMR,size.log2.DMR,18mo.2mo.log_ratio.DMR,rel_pos.DMR,distance.log2.DMR,18mo.9mo.Q.std.loops,9mo.2mo.Q.median.loops,loop_size.log.max.loops,Tanova.std.loops,18mo.2mo.Q.mean.loops,18mo.9mo.Q.max.loops,18mo.2mo.Q.median.loops,18mo.9mo.Q.mean.loops,18mo.9mo.T.median.loops,Qanova.min.loops,18mo.2mo.T.median.loops,9mo.2mo.T.min.loops,loop_size.log.min.loops,Tanova.median.loops,Tanova.min.loops,Tanova.max.loops,Qanova.mean.loops,9mo.2mo.Q.mean.loops,loop_size.log.median.loops,18mo.9mo.Q.median.loops,min_distance.log.std.loops,min_distance.log.mean.loops,9mo.2mo.T.median.loops,18mo.2mo.Q.min.loops,18mo.9mo.T.min.loops,Qanova.median.loops,loop_size.log.std.loops,18mo.2mo.T.min.loops,min_distance.log.median.loops,18mo.2mo.T.mean.loops,18mo.2mo.Q.std.loops,min_distance.log.min.loops,18mo.9mo.T.std.loops,18mo.2mo.Q.max.loops,18mo.9mo.Q.min.loops,9mo.2mo.Q.min.loops,9mo.2mo.Q.max.loops,9mo.2mo.T.mean.loops,9mo.2mo.Q.std.loops,18mo.2mo.T.std.loops,loop_size.log.mean.loops,min_distance.log.max.loops,18mo.9mo.log_ratio.mcg_genebody,18mo.2mo.log_ratio.mcg_genebody,9mo.2mo.log_ratio.mcg_genebody,18mo.2mo.log_ratio.mch_genebody,9mo.2mo.log_ratio.mch_genebody,18mo.9mo.log_ratio.mch_genebody,18mo.2mo.log_ratio.mean.atac,18mo.2mo.log_ratio.max.atac,log2_distance.max.atac,18mo.2mo.log_ratio.std.atac,9mo.2mo.log_ratio.min.atac,9mo.2mo.log_ratio.std.atac,18mo.9mo.log_ratio.std.atac,count.atac,18mo.2mo.log_ratio.min.atac,log2_distance.mean.atac,log2_distance.std.atac,log2_distance.min.atac,9mo.2mo.log_ratio.mean.atac,18mo.9mo.log_ratio.max.atac,18mo.9mo.log_ratio.mean.atac,9mo.2mo.log_ratio.max.atac,DEG,pred
Cog1,0.007098468020558357,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.15776985123753548,0.0,0.0,0.0,-0.027628459595143796,0.0,0.0,0.0,0.0,0.0,0.0,-0.02437577910721302,0.000965377390384674,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.03583976179361344,0.0,0.0,-0.013451985642313957,-0.03217029821127653,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02652767837047577,0.0,0.0,0.0,0.0,0.0034107014536857603,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.019706275463104248,0.0,0.0,0.0,-0.01747003372758627,-0.008349916711449624,0.028713319301605224,0.022825620286166668,0.0,0.006512718796730041,0.0,0.0,0.0,0.0033771356381475924,0.0,0.0,0.0,-0.09057449284940958,0.0,0.0,0.0,-0.16663297677412628,0.0,0.1178047882206738,-0.006762689016759396,1.0,1.0
Per3,0.022985515519976615,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.08672833565622567,0.0,0.0,0.0,-0.009312963970005512,0.0,0.0,0.0,0.0,0.0,0.0,0.015687382593750954,0.008447052165865897,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.012231029896065592,0.0,0.0,-0.0026690447703003883,-0.007947956044226885,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0006760445982217789,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0075793366506695745,0.0,0.0,0.0,0.0,0.0005684502422809601,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005305535681545734,0.0,0.0,0.0,0.0217195013910532,-0.0014251495152711867,-0.013758465498685837,-0.059618856813758614,0.0,0.016473347544670103,0.0,0.0,0.0,0.001266425885260105,0.0,0.0,0.0,0.08478428009897471,0.0,0.0,0.0,0.4199758179113269,0.0,-0.07654545368626714,-0.006762689016759396,1.0,1.0
Cntnap5a,0.004732312187552452,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.12056288357824087,0.0,0.0,0.0,0.018832882568240165,0.0,0.0,0.0,0.0,0.0,0.0,-0.02437577910721302,0.000965377390384674,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.03583976179361344,0.0,0.0,0.07067630551755429,-0.012489645350724459,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02652767837047577,0.0,0.0,0.0,0.0,0.0034107014536857603,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.019706275463104248,0.0,0.0,0.0,0.007554609179496765,0.09590789370238781,0.028713319301605224,0.10173828896135091,0.0,-0.02068745970726013,0.0,0.0,0.0,-0.016674607042223216,0.0,0.0,0.0,-0.04380817161872983,0.0,0.0,0.0,-0.09702408637851477,0.0,0.11702533159404993,-0.006762689016759396,1.0,2.0
Gm28153,0.009971657563000917,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.242726409137249,0.0,0.0,0.0,-0.009312963970005512,0.0,0.0,0.0,0.0,0.0,0.0,-0.08012632340192795,0.0031374765187501905,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.011519923526793718,0.0,0.0,-0.004270471632480621,-0.004920163415372372,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02652767837047577,0.0,0.0,0.0,0.0,0.0034107014536857603,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.019706275463104248,0.0,0.0,0.0,0.007554609179496765,0.025806697830557824,0.009571106433868408,0.01283271923661232,0.0,-0.02068745970726013,0.0,0.0,0.0,0.0033771356381475924,0.0,0.0,0.0,0.031195067930966616,0.0,0.0,0.0,0.27221687950193885,0.0,0.11998032519593835,-0.006762689016759396,1.0,2.0
Pkn2,0.007098468020558357,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.10273906376212835,0.0,0.0,0.0,-0.027628459595143796,0.0,0.0,0.0,0.0,0.0,0.0,0.0014480660855770112,0.0014480660855770112,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.03583976179361344,0.0,0.0,-0.005444851331412792,-0.03217029821127653,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010421588048338891,0.0,0.0,0.0,0.0,-0.05817140854895115,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007389853373169899,0.0,0.0,0.0,0.007554609179496765,-0.008349916711449624,-0.05443566784262657,-0.1737938805669546,0.0,-0.04903694152832031,0.0,0.0,0.0,-0.016674607042223216,0.0,0.0,0.0,-0.12706433672457934,0.0,0.0,0.0,-0.2378694063052535,0.0,-0.0008918868750333786,-0.006762689016759396,1.0,0.0
Sec13,0.004732312187552452,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.17497739218175412,0.0,0.0,0.0,0.018832882568240165,0.0,0.0,0.0,0.0,0.0,0.0,0.0014480660855770112,0.0014480660855770112,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.029013140499591826,0.0,0.0,-0.013451985642313957,0.01305735632777214,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.044149635657668114,0.0,0.0,0.0,0.0,0.0013263839483261108,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004547601975500584,0.0,0.0,0.0,-0.01747003372758627,-0.0008574384078383446,0.009571106433868408,0.09767712436616421,0.0,0.016473347544670103,0.0,0.0,0.0,0.0033771356381475924,0.0,0.0,0.0,0.039881684668362144,0.0,0.0,0.0,-0.12761527622118593,0.0,0.03611336475238204,-0.006762689016759396,1.0,1.0
Med15,0.022985515519976615,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.07789679398760199,0.0,0.0,0.0,-0.009312963970005512,0.0,0.0,0.0,0.0,0.0,0.0,0.015687382593750954,0.008447052165865897,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.011519923526793718,0.0,0.0,-0.004270471632480621,0.04390299525111914,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0006760445982217789,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004168635383248329,0.0,0.0,0.0,0.0,0.0003789668530225754,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.014211256206035614,0.0,0.0,0.0,0.0217195013910532,-0.004375938810408115,-0.05443566784262657,0.018748109173029662,0.0,0.016473347544670103,0.0,0.0,0.0,-0.016674607042223216,0.0,0.0,0.0,-0.0935693802125752,0.0,0.0,0.0,0.3735330087691546,0.0,-0.03464316010475159,-0.006762689016759396,1.0,2.0
Snrnp27,-0.029745961241424083,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25867403380572795,0.0,0.0,0.0,0.01107207958586514,0.0,0.0,0.0,0.0,0.0,0.0,0.0014480660855770112,0.0014480660855770112,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.029013140499591826,0.0,0.0,-0.005124565958976745,0.01305735632777214,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.013453322499990462,0.0,0.0,0.0,0.0,0.0003789668530225754,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0026527679711580276,0.0,0.0,0.0,0.0217195013910532,-0.0008574384078383446,0.009571106433868408,0.09562813675031066,0.0,0.016473347544670103,0.0,0.0,0.0,0.024273162260651588,0.0,0.0,0.0,0.05533671762794256,0.0,0.0,0.0,-0.08128392115235329,0.0,-0.01509990956634283,-0.0030739495530724527,1.0,2.0
Abca8a,0.022985515519976615,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.11715112920850515,0.0,0.0,0.0,-0.009312963970005512,0.0,0.0,0.0,0.0,0.0,0.0,0.015687382593750954,0.008447052165865897,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.011519923526793718,0.0,0.0,-0.004270471632480621,-0.004920163415372372,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0006760445982217789,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.01686402417719364,0.0,0.0,0.0,0.0,0.0007579337060451508,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.01686402417719364,0.0,0.0,0.0,0.007554609179496765,0.025806697830557824,0.009571106433868408,0.018748109173029662,0.0,0.006512718796730041,0.0,0.0,0.0,0.0033771356381475924,0.0,0.0,0.0,0.031195067930966616,0.0,0.0,0.0,0.3735330087691546,0.0,0.06170486455783248,-0.006762689016759396,1.0,2.0
Clcc1,0.007098468020558357,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2213251472450793,0.0,0.0,0.0,0.01107207958586514,0.0,0.0,0.0,0.0,0.0,0.0,0.0014480660855770112,0.0014480660855770112,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.03583976179361344,0.0,0.0,0.026156638748943806,-0.007947956044226885,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.044149635657668114,0.0,0.0,0.0,0.0,0.0013263839483261108,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004547601975500584,0.0,0.0,0.0,0.007554609179496765,-0.0014251495152711867,0.009571106433868408,0.09274978449568153,0.0,0.006512718796730041,0.0,0.0,0.0,0.024273162260651588,0.0,0.0,0.0,0.07690974067896604,0.0,0.0,0.0,-0.12966217789798976,0.0,0.0828407233580947,-0.0030739495530724527,1.0,2.0
Phf23,-0.11070229914039373,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19914118388667704,0.0,0.0,0.0,0.019143314706161617,0.0,0.0,0.0,0.0,0.0,0.0,0.015687382593750954,0.008447052165865897,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.011519923526793718,0.0,0.0,-0.0026690447703003883,0.01305735632777214,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00016901114955544471,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.044149635657668114,0.0,0.0,0.0,0.0,0.0013263839483261108,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004547601975500584,0.0,0.0,0.0,-0.01747003372758627,-0.0008574384078383446,0.009571106433868408,0.027034284099936485,0.0,0.016473347544670103,0.0,0.0,0.0,0.024273162260651588,0.0,0.0,0.0,0.05533671762794256,0.0,0.0,0.0,0.18251362084411085,0.0,0.05194368798285723,-0.0030739495530724527,1.0,1.0
Pgm2l1,0.022985515519976615,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20242828283458947,0.0,0.0,0.0,-0.004035617792978883,0.0,0.0,0.0,0.0,0.0,0.0,0.015687382593750954,0.008447052165865897,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.012231029896065592,0.0,0.0,-0.0026690447703003883,0.01305735632777214,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0006760445982217789,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02652767837047577,0.0,0.0,0.0,0.0,0.0034107014536857603,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.019706275463104248,0.0,0.0,0.0,0.007554609179496765,-0.0008574384078383446,0.009571106433868408,0.03468311931937933,0.0,0.016473347544670103,0.0,0.0,0.0,0.024273162260651588,0.0,0.0,0.0,0.05533671762794256,0.0,0.0,0.0,0.23962418925948442,0.0,0.052688789740204814,-0.0030739495530724527,1.0,2.0
Dnajc13,0.022985515519976615,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.09641924474388361,0.0,0.0,0.0,-0.027628459595143796,0.0,0.0,0.0,0.0,0.0,0.0,0.005550919994711876,-0.08495321035385132,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.012231029896065592,0.0,0.0,-0.004270471632480621,0.04390299525111914,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0006760445982217789,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004831827376037836,0.0,0.0,0.0,0.0,-0.016011348757892847,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0033159599639475345,0.0,0.0,0.0,0.0217195013910532,-0.004375938810408115,0.028713319301605224,0.007170916795730591,0.0,0.016473347544670103,0.0,0.0,0.0,-0.016674607042223216,0.0,0.0,0.0,-0.057079536337405444,0.0,0.0,0.0,0.232754459194839,0.0,-0.03644325263798237,-0.006762689016759396,1.0,2.0
Mkrn2,0.007098468020558357,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0985970326885581,0.0,0.0,0.0,0.05029000494629145,0.0,0.0,0.0,0.0,0.0,0.0,-0.02437577910721302,0.000965377390384674,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.029013140499591826,0.0,0.0,0.07067630551755429,-0.03217029821127653,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.01686402417719364,0.0,0.0,0.0,0.0,0.0007579337060451508,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.01686402417719364,0.0,0.0,0.0,0.007554609179496765,-0.008349916711449624,0.028713319301605224,0.04962197041139007,0.0,-0.04903694152832031,0.0,0.0,0.0,-0.016674607042223216,0.0,0.0,0.0,-0.09057449284940958,0.0,0.0,0.0,-0.11887529792264104,0.0,-0.00828174002468586,-0.006762689016759396,1.0,1.0
Gatad2a,0.022985515519976615,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15787748765200377,0.0,0.0,0.0,0.011279034344479442,0.0,0.0,0.0,0.0,0.0,0.0,0.015687382593750954,0.008447052165865897,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.012231029896065592,0.0,0.0,-0.0026690447703003883,-0.007947956044226885,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0006760445982217789,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02652767837047577,0.0,0.0,0.0,0.0,0.0034107014536857603,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.019706275463104248,0.0,0.0,0.0,0.007554609179496765,-0.0014251495152711867,0.009571106433868408,0.035924847926944496,0.0,0.006512718796730041,0.0,0.0,0.0,0.024273162260651588,0.0,0.0,0.0,0.07690974067896604,0.0,0.0,0.0,0.23134599938057362,0.0,0.1086104679107666,0.03319865517318249,1.0,2.0
Wrb,0.022985515519976615,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17527922868728638,0.0,0.0,0.0,0.011279034344479442,0.0,0.0,0.0,0.0,0.0,0.0,0.015687382593750954,0.008447052165865897,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.012231029896065592,0.0,0.0,-0.0019217122346162796,0.01305735632777214,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0006760445982217789,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02652767837047577,0.0,0.0,0.0,0.0,0.0034107014536857603,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.019706275463104248,0.0,0.0,0.0,0.007554609179496765,-0.0008574384078383446,0.009571106433868408,-0.06944919081404805,0.0,0.016473347544670103,0.0,0.0,0.0,0.024273162260651588,0.0,0.0,0.0,0.05533671762794256,0.0,0.0,0.0,0.35484357266686856,0.0,0.052688789740204814,-0.0030739495530724527,1.0,2.0
Gmeb2,0.007098468020558357,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.11833820950239897,0.0,0.0,0.0,0.018832882568240165,0.0,0.0,0.0,0.0,0.0,0.0,0.0014480660855770112,0.0014480660855770112,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.03583976179361344,0.0,0.0,-0.013451985642313957,-0.007947956044226885,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.008053045626729727,0.0,0.0,0.0,0.0,0.00028422512114048006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.008053045626729727,0.0,0.0,0.0,0.0217195013910532,-0.0014251495152711867,0.009571106433868408,0.09298382222652435,0.0,0.016473347544670103,0.0,0.0,0.0,0.001266425885260105,0.0,0.0,0.0,0.061454707719385625,0.0,0.0,0.0,-0.17855615654960275,0.0,-0.04727026585489511,-0.006762689016759396,1.0,1.0
Gm12689,-0.029745961241424083,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.13534427754580974,0.0,0.0,0.0,-0.027628459595143796,0.0,0.0,0.0,0.0,0.0,0.0,0.000965377390384674,-0.02437577910721302,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.029013140499591826,0.0,0.0,0.07067630551755429,-0.007947956044226885,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.013453322499990462,0.0,0.0,0.0,0.0,0.0003789668530225754,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0026527679711580276,0.0,0.0,0.0,0.0217195013910532,-0.0014251495152711867,0.009571106433868408,0.036273389160633086,0.0,-0.04903694152832031,0.0,0.0,0.0,0.001266425885260105,0.0,0.0,0.0,0.061454707719385625,0.0,0.0,0.0,-0.0935927457921207,0.0,-0.06378047605976463,-0.006762689016759396,1.0,1.0
Gm10563,0.007098468020558357,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09956383600831031,0.0,0.0,0.0,0.019143314706161617,0.0,0.0,0.0,0.0,0.0,0.0,0.0014480660855770112,0.0014480660855770112,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.029013140499591826,0.0,0.0,-0.013451985642313957,0.01305735632777214,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0075793366506695745,0.0,0.0,0.0,0.0,0.0005684502422809601,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005305535681545734,0.0,0.0,0.0,0.0217195013910532,-0.0008574384078383446,0.009571106433868408,0.049294168166816234,0.0,0.016473347544670103,0.0,0.0,0.0,0.024273162260651588,0.0,0.0,0.0,0.05533671762794256,0.0,0.0,0.0,-0.1628730718139559,0.0,-0.038974820002913475,-0.0030739495530724527,1.0,1.0
