gene_name,gene_length.meta,9mo.2mo.contact.log_ratio.median.5kb-20kb.enhancer_DMR,18mo.9mo.activity.log_ratio.count.5kb-20kb.enhancer_DMR,18mo.2mo.contact.log_ratio.count.5kb-20kb.enhancer_DMR,9mo.2mo.contact.log_ratio.count.5kb-20kb.enhancer_DMR,18mo.9mo.contact.log_ratio.max.5kb-20kb.enhancer_DMR,9mo.2mo.contact.log_ratio.max.5kb-20kb.enhancer_DMR,18mo.9mo.activity.log_ratio.mean.5kb-20kb.enhancer_DMR,18mo.2mo.activity.log_ratio.min.5kb-20kb.enhancer_DMR,18mo.9mo.activity.log_ratio.count.0-5kb.enhancer_DMR,18mo.9mo.activity.log_ratio.min.5kb-20kb.enhancer_DMR,count.enhancer_DMR,18mo.9mo.contact.log_ratio.mean.5kb-20kb.enhancer_DMR,18mo.2mo.contact.log_ratio.mean.5kb-20kb.enhancer_DMR,9mo.2mo.activity.log_ratio.mean.5kb-20kb.enhancer_DMR,9mo.2mo.activity.log_ratio.median.20kb-5Mb.enhancer_peak,18mo.9mo.activity.log_ratio.max.20kb-5Mb.enhancer_peak,18mo.2mo.contact.log_ratio.mean.20kb-5Mb.enhancer_peak,18mo.9mo.contact.log_ratio.count.20kb-5Mb.enhancer_peak,9mo.2mo.contact.log_ratio.mean.20kb-5Mb.enhancer_peak,18mo.9mo.activity.log_ratio.min.20kb-5Mb.enhancer_peak,18mo.9mo.activity.log_ratio.median.20kb-5Mb.enhancer_peak,18mo.2mo.activity.log_ratio.count.0-5kb.enhancer_peak,18mo.9mo.contact.log_ratio.min.20kb-5Mb.enhancer_peak,18mo.9mo.contact.log_ratio.std.20kb-5Mb.enhancer_peak,18mo.2mo.contact.log_ratio.max.20kb-5Mb.enhancer_peak,18mo.2mo.activity.log_ratio.mean.20kb-5Mb.enhancer_peak,18mo.2mo.contact.log_ratio.min.20kb-5Mb.enhancer_peak,18mo.9mo.contact.log_ratio.median.20kb-5Mb.enhancer_peak,18mo.2mo.activity.log_ratio.std.20kb-5Mb.enhancer_peak,18mo.9mo.activity.log_ratio.std.20kb-5Mb.enhancer_peak,9mo.2mo.contact.log_ratio.max.20kb-5Mb.enhancer_peak,18mo.2mo.activity.log_ratio.max.20kb-5Mb.enhancer_peak,count.enhancer_peak,18mo.9mo.contact.log_ratio.max.20kb-5Mb.enhancer_peak,9mo.2mo.activity.log_ratio.max.20kb-5Mb.enhancer_peak,18mo.9mo.contact.log_ratio.mean.20kb-5Mb.enhancer_peak,18mo.9mo.activity.log_ratio.count.0-5kb.enhancer_peak,9mo.2mo.activity.log_ratio.min.20kb-5Mb.enhancer_peak,18mo.2mo.contact.log_ratio.std.20kb-5Mb.enhancer_peak,18mo.9mo.activity.log_ratio.mean.20kb-5Mb.enhancer_peak,18mo.2mo.activity.log_ratio.min.20kb-5Mb.enhancer_peak,9mo.2mo.log_ratio.DAR,18mo.2mo.log_ratio.DAR,rel_pos.DAR,9mo.2mo.log_ratio.DMR,size.log2.DMR,18mo.2mo.log_ratio.DMR,rel_pos.DMR,distance.log2.DMR,18mo.9mo.Q.std.loops,9mo.2mo.Q.median.loops,loop_size.log.max.loops,Tanova.std.loops,18mo.2mo.Q.mean.loops,18mo.9mo.Q.max.loops,18mo.2mo.Q.median.loops,18mo.9mo.Q.mean.loops,18mo.9mo.T.median.loops,Qanova.min.loops,18mo.2mo.T.median.loops,9mo.2mo.T.min.loops,loop_size.log.min.loops,Tanova.median.loops,Tanova.min.loops,Tanova.max.loops,Qanova.mean.loops,9mo.2mo.Q.mean.loops,loop_size.log.median.loops,18mo.9mo.Q.median.loops,min_distance.log.std.loops,min_distance.log.mean.loops,9mo.2mo.T.median.loops,18mo.2mo.Q.min.loops,18mo.9mo.T.min.loops,Qanova.median.loops,loop_size.log.std.loops,18mo.2mo.T.min.loops,min_distance.log.median.loops,18mo.2mo.T.mean.loops,18mo.2mo.Q.std.loops,min_distance.log.min.loops,18mo.9mo.T.std.loops,18mo.2mo.Q.max.loops,18mo.9mo.Q.min.loops,9mo.2mo.Q.min.loops,9mo.2mo.Q.max.loops,9mo.2mo.T.mean.loops,9mo.2mo.Q.std.loops,18mo.2mo.T.std.loops,loop_size.log.mean.loops,min_distance.log.max.loops,18mo.9mo.log_ratio.mcg_genebody,18mo.2mo.log_ratio.mcg_genebody,9mo.2mo.log_ratio.mcg_genebody,18mo.2mo.log_ratio.mch_genebody,9mo.2mo.log_ratio.mch_genebody,18mo.9mo.log_ratio.mch_genebody,18mo.2mo.log_ratio.mean.atac,18mo.2mo.log_ratio.max.atac,log2_distance.max.atac,18mo.2mo.log_ratio.std.atac,9mo.2mo.log_ratio.min.atac,9mo.2mo.log_ratio.std.atac,18mo.9mo.log_ratio.std.atac,count.atac,18mo.2mo.log_ratio.min.atac,log2_distance.mean.atac,log2_distance.std.atac,log2_distance.min.atac,9mo.2mo.log_ratio.mean.atac,18mo.9mo.log_ratio.max.atac,18mo.9mo.log_ratio.mean.atac,9mo.2mo.log_ratio.max.atac,DEG,pred
Zfp68,0.008962445743381977,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.004021963831037283,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.04830263532698154,0.0,0.0,0.0020701725035905836,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0038686607033014296,0.0,0.0,0.0,0.0,0.0008636067062616348,0.0,-0.013790073841810226,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.03331069665029645,0.0,0.0008895682077854871,0.0,0.0,0.0,-0.04067808672785759,0.0,0.0005757378041744232,0.0,0.0,0.0017235384043306112,0.003869490846991539,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0017060533352196217,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04934454746544361,0.011884010955691337,0.009321770071983338,-0.009452152326703071,0.0,0.0,0.0,0.0,0.0,-0.04165135148912668,0.0,0.0,-0.015446600504219532,-0.17443088740110396,0.0,0.0,0.0,-0.4375356686487794,0.0015552151016891003,0.005181640237569809,0.0,1.0,1.0
Pigm,0.008386707864701748,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.01173072773963213,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.03822722375392914,0.0,0.0,0.0020701725035905836,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003179075941443443,0.0,0.0,0.0,0.0,-0.017272134125232697,0.0,-0.013790073841810226,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.029613429168239235,0.0,-0.005559801310300827,0.0,0.0,0.0,-0.016011587381362914,0.0,-0.003016120456159115,0.0,0.0,0.0012509552389383316,-0.016337850242853166,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.019903955422341822,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0360159033536911,-0.01341196447610855,0.008849186897277832,0.17917255274951457,0.0,0.0,0.0,0.0,0.0,-0.04696704249829054,0.0,0.0,-0.015446600504219532,-0.15913781666196883,0.0,0.0,0.0,-0.43176964912563565,0.0015552151016891003,0.0038862301781773566,0.0,1.0,1.0
Fam98c,-0.20775353498756885,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.002681309189647436,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.06413160701282322,0.0,0.0,0.00552046000957489,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.010031632855534553,0.0,0.0,0.0,0.0,0.0008348198235034942,0.0,-0.02987849332392216,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03897652823477984,0.0,0.002501910552382469,0.0,0.0,0.0,-0.012549622505903245,0.0,0.003721207734197378,0.0,0.0,0.0027799005433917045,-0.049443494156003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0005686844512820244,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.012709983550012112,0.009093549475073815,0.006641515232622623,0.018697620052844286,0.0,0.0,0.0,0.0,0.0,0.05433235727250576,0.0,0.0,-0.043231280036270615,0.08362373165786266,0.0,0.0,0.0,0.13981381621211766,0.003888037707656622,0.0054982960410416126,0.0,1.0,1.0
Ankrd11,0.025721680894494055,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.01173072773963213,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08048615179955959,0.0,0.0,0.00552046000957489,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.010031632855534553,0.0,0.0,0.0,0.0,0.0099314771220088,0.0,0.02758014768362045,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03897652823477984,0.0,0.002501910552382469,0.0,0.0,0.0,-0.012549622505903245,0.0,0.006974126324057579,0.0,0.0,0.0027799005433917045,0.003869490846991539,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0017060533538460732,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0360159033536911,0.009093549475073815,0.006641515232622623,0.04422663975507021,0.0,0.0,0.0,0.0,0.0,-0.06717438317835331,0.0,0.0,0.018198043555021286,0.11236104674637318,0.0,0.0,0.0,0.18116265967488288,-0.05318835543468595,0.028355086855590343,0.0,1.0,2.0
Blvra,0.021259713023900985,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008714255169034004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04666155580431223,0.0,0.0,0.00552046000957489,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009395817667245865,0.0,0.0,0.0,0.0,0.0025908201187849044,0.0,0.02758014768362045,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.015168301276862622,0.0,0.002501910552382469,0.0,0.0,0.0,0.014713350720703601,0.0,0.005072890967130661,0.0,0.0,0.0027799005433917045,0.013758189678192138,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.005118160042911768,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01151094383560121,0.019934681802988054,0.006641515232622623,0.04962336150929332,0.0,0.0,0.0,0.0,0.0,0.04150286829099059,0.0,0.0,-0.01850336158648133,0.02649944756180048,0.0,0.0,0.0,0.18898412644863127,-0.016640801308676602,-0.07858821026980876,0.0,1.0,2.0
Qsox1,0.01160935364663601,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.01173072773963213,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04379086468368769,0.0,0.0,0.00552046000957489,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.06491284370422364,0.0,0.0,0.0,0.0,0.0018711478635668754,0.0,0.02758014768362045,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.018355652168393136,0.0,-0.005976786408573389,0.0,0.0,0.0,-0.04067808672785759,0.0,0.004922939017415046,0.0,0.0,0.0012509552389383316,0.003869490846991539,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0017060533352196217,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0360159033536911,0.009093549475073815,-0.025437390580773354,-0.15936754751950502,0.0,0.0,0.0,0.0,0.0,-0.06717438317835331,0.0,0.0,0.017001815512776373,-0.25021546192467214,0.0,0.0,0.0,0.21447959445416928,0.002332822605967522,0.008636067062616349,0.0,1.0,0.0
Sprtn,0.025721680894494055,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.002681309189647436,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08048615179955959,0.0,0.0,0.00552046000957489,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009395817667245865,0.0,0.0,0.0,0.0,0.0099314771220088,0.0,0.02758014768362045,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.02944663508795202,0.0,0.0005837791226804257,0.0,0.0,0.0,-0.012549622505903245,0.0,0.007663711085915566,0.0,0.0,-0.005393007267266512,0.013758189678192138,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0005686844512820244,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.012709983550012112,0.009093549475073815,0.005423126183450222,0.01742550503462553,0.0,0.0,0.0,0.0,0.0,0.07711935713887215,0.0,0.0,-0.043231280036270615,0.11401101730763913,0.0,0.0,0.0,0.21457188807427882,0.003888037707656622,0.028355086855590343,0.0,1.0,2.0
Nrxn2,0.02054004080593586,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.01173072773963213,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.10071974445134402,0.0,0.0,0.00552046000957489,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.010031632855534553,0.0,0.0,0.0,0.0,0.0020150823146104814,0.0,-0.02987849332392216,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03897652823477984,0.0,0.002501910552382469,0.0,0.0,0.0,-0.012549622505903245,0.0,0.0042393717542290685,0.0,0.0,0.0027799005433917045,0.003869490846991539,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0017060533538460732,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0360159033536911,0.009093549475073815,0.006641515232622623,0.04379643592983484,0.0,0.0,0.0,0.0,0.0,-0.06717438317835331,0.0,0.0,0.035460929498076436,0.10746780814602971,0.0,0.0,0.0,0.18094080775976182,0.009331290423870087,0.008492132611572743,0.0,1.0,2.0
Maf1,-0.1848096226155758,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05094487465918064,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07682620228268205,0.0,0.0,0.0020701725035905836,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0038686607033014296,0.0,0.0,0.0,0.0,0.002418098794296384,0.0,-0.02987849332392216,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06964831903576851,0.0,0.023351164758205412,0.0,0.0,0.0,-0.012549622505903245,0.0,0.001583278961479664,0.0,0.0,0.012509552538394928,0.003869490846991539,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0005686844512820244,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.018587392615154387,0.0010428786277770995,0.02419999651610851,0.02808078572154045,0.0,0.0,0.0,0.0,0.0,-0.04672940209507942,0.0,0.0,-0.043231280036270615,0.0882840732485056,0.0,0.0,0.0,0.08230449073016644,0.003888037707656622,0.011198100307956338,0.0,1.0,2.0
Emx2os,0.008329134173691273,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.01173072773963213,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.03293043597601354,0.0,0.0,-0.015526293776929379,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.003179075941443443,0.0,0.0,0.0,0.0,0.00046059027314186094,0.0,-0.013790073841810226,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.029613429168239235,0.0,-0.005559801310300827,0.0,0.0,0.0,-0.04067808672785759,0.0,-0.029570394409820438,0.0,0.0,0.0012509552389383316,-0.016337850242853166,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0017060533352196217,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0360159033536911,-0.033078603260219094,0.008849186897277832,-0.004893906861543656,0.0,0.0,0.0,0.0,0.0,-0.04696704249829054,0.0,0.0,0.017001815512776373,-0.28651379868388177,0.0,0.0,0.0,-0.3764907540753484,0.002332822605967522,-0.0119753463473171,0.0,1.0,1.0
Rbm27,0.008559429235756397,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.004021963831037283,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.03719089571386576,0.0,0.0,0.0020701725035905836,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.003179075941443443,0.0,0.0,0.0,0.0,0.0006045247055590152,0.0,-0.013790073841810226,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03897652823477984,0.0,0.002501910552382469,0.0,0.0,0.0,0.11770680420100689,0.0,-0.0016369509324431419,0.0,0.0,0.0027799005433917045,-0.016337850242853166,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005118160005658865,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04934454746544361,-0.01341196447610855,0.010234370008111,0.0004486148804426193,0.0,0.0,0.0,0.0,0.0,-0.02144401070661843,0.0,0.0,0.017001815512776373,-0.20167852036654949,0.0,0.0,0.0,-0.45470112420618536,0.002332822605967522,-0.016235806085169315,0.0,1.0,1.0
Cds1,0.02054004080593586,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.01173072773963213,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.10071974445134402,0.0,0.0,0.00552046000957489,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.010031632855534553,0.0,0.0,0.0,0.0,0.0020150823146104814,0.0,-0.02987849332392216,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.01725322663784027,0.0,-0.00972965195775032,0.0,0.0,0.0,-0.00778942096978426,0.0,0.0042393717542290685,0.0,0.0,0.0016679403930902482,-0.016337850242853166,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00568684445694089,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0360159033536911,0.009093549475073815,0.005668549872934818,0.09577594351023436,0.0,0.0,0.0,0.0,0.0,-0.04696704249829054,0.0,0.0,0.035460929498076436,0.04674730710685253,0.0,0.0,0.0,0.19734222073107957,0.009331290423870087,0.008492132611572743,0.0,1.0,2.0
Pygo2,-0.27099833093583586,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.004021963831037283,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0486478512454778,0.0,0.0,0.00552046000957489,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009395817667245865,0.0,0.0,0.0,0.0,0.002418098794296384,0.0,0.02758014768362045,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.01725322663784027,0.0,-0.00972965195775032,0.0,0.0,0.0,-0.012549622505903245,0.0,0.0052168254181742665,0.0,0.0,0.0016679403930902482,0.003869490846991539,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0005686844512820244,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04934454746544361,0.009093549475073815,0.005668549872934818,-0.008810679651796818,0.0,0.0,0.0,0.0,0.0,-0.04165135148912668,0.0,0.0,-0.043231280036270615,0.08860386431217193,0.0,0.0,0.0,0.16425854986533522,0.003888037707656622,0.011198100307956338,0.0,1.0,1.0
Prrt3,0.017212648168206213,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.016590600702911615,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10866450283676386,0.0,0.0,0.0020701725035905836,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0038686607033014296,0.0,0.0,0.0,0.0,0.0099314771220088,0.0,0.02758014768362045,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04977203030139208,0.0,-0.05629298634827137,0.0,0.0,0.0,-0.012549622505903245,0.0,0.004030164629220963,0.0,0.0,0.0037528657726943492,-0.049443494156003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0005686844512820244,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.009023183686658741,0.0010428786277770995,0.016694265156984328,0.03162621602416039,0.0,0.0,0.0,0.0,0.0,0.031373647013679146,0.0,0.0,0.035460929498076436,0.12606941372156144,0.0,0.0,0.0,-0.014069053754210472,0.009331290423870087,0.028355086855590343,0.0,1.0,2.0
Smc2,0.00718973059207201,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.004021963831037283,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04383643986657262,0.0,0.0,0.0020701725035905836,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.013015529252588748,0.0,0.0,0.0,0.0,-0.033392792642116545,0.0,-0.013790073841810226,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.004372799210250378,0.0,-0.05629298634827137,0.0,0.0,0.0,-0.04067808672785759,0.0,0.001133423112332821,0.0,0.0,0.0037528657726943492,-0.016337850242853166,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005118160005658865,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04934454746544361,0.011884010955691337,0.016694265156984328,-0.18445080514997245,0.0,0.0,0.0,0.0,0.0,-0.02144401070661843,0.0,0.0,0.017001815512776373,-0.21060984291136264,0.0,0.0,0.0,-0.17824445076286793,0.002332822605967522,0.0056134435907006265,0.0,1.0,1.0
Wdyhv1,0.012750680297613145,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.01173072773963213,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0748399068415165,0.0,0.0,0.0020701725035905836,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0038686607033014296,0.0,0.0,0.0,0.0,0.0025908201187849044,0.0,0.02758014768362045,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.053433120977133514,0.0,-0.016401413530111313,0.0,0.0,0.0,-0.012549622505903245,0.0,0.001439344510436058,0.0,0.0,0.002223920524120331,-0.016337850242853166,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0005686844512820244,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0360159033536911,0.011884010955691337,0.014089114293456077,0.03162621602416039,0.0,0.0,0.0,0.0,0.0,-0.04696704249829054,0.0,0.0,-0.043231280036270615,0.08465050969272853,0.0,0.0,0.0,-0.04174961872398853,0.003888037707656622,-0.07858821026980876,0.0,1.0,1.0
Sdf4,0.02054004080593586,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.016590600702911615,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.05145215447992087,0.0,0.0,0.00552046000957489,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0066374786011874675,0.0,0.0,0.0,0.0,0.0020150823146104814,0.0,0.02758014768362045,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03897652823477984,0.0,0.002501910552382469,0.0,0.0,0.0,0.014713350720703601,0.0,-0.005276897959411144,0.0,0.0,0.0027799005433917045,0.013758189678192138,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.005118160042911768,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.009023183686658741,0.009093549475073815,0.006641515232622623,0.06684652714058757,0.0,0.0,0.0,0.0,0.0,0.05416065037250519,0.0,0.0,0.035460929498076436,0.05369382342323661,0.0,0.0,0.0,0.19806147351861,0.009331290423870087,0.008492132611572743,0.0,1.0,2.0
Adamts6,0.00698822233825922,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.004021963831037283,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02304896166548133,0.0,0.0,0.0013801150023937225,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.010509632332250475,0.0,0.0,0.0,0.0,0.0007196722738444805,0.0,0.010835058018565179,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.036335622668266294,0.0,-0.005698796343058348,0.0,0.0,0.0,0.11770680420100689,0.0,-0.05836317486129701,0.0,0.0,-0.005698796343058348,0.003869490846991539,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005118160005658865,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04934454746544361,0.04767349250614643,0.00912240967154503,-0.04606882706284523,0.0,0.0,0.0,0.0,0.0,-0.04165135148912668,0.0,0.0,0.017001815512776373,-0.16415126994252205,0.0,0.0,0.0,-0.39884106803685426,0.002332822605967522,-0.01917206889949739,0.0,1.0,1.0
Chmp4b,0.013094637170433998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.01173072773963213,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.09813852194696665,0.0,0.0,0.00552046000957489,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.06491284370422364,0.0,0.0,0.0,0.0,0.0020150823146104814,0.0,-0.02987849332392216,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03681774064898491,0.0,0.001028563240543008,0.0,0.0,0.0,-0.012549622505903245,0.0,0.0050668734684586525,0.0,0.0,0.0017235384043306112,0.003869490846991539,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0005686844512820244,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0360159033536911,0.009093549475073815,-0.0296906391531229,-0.13226141948252917,0.0,0.0,0.0,0.0,0.0,-0.06717438317835331,0.0,0.0,0.035460929498076436,0.10764580387622118,0.0,0.0,0.0,0.20054001189768314,0.009331290423870087,0.008492132611572743,0.0,1.0,2.0
