gene_name,gene_length.meta,9mo.2mo.contact.log_ratio.median.5kb-20kb.enhancer_DMR,18mo.9mo.activity.log_ratio.count.5kb-20kb.enhancer_DMR,18mo.2mo.contact.log_ratio.count.5kb-20kb.enhancer_DMR,9mo.2mo.contact.log_ratio.count.5kb-20kb.enhancer_DMR,18mo.9mo.contact.log_ratio.max.5kb-20kb.enhancer_DMR,9mo.2mo.contact.log_ratio.max.5kb-20kb.enhancer_DMR,18mo.9mo.activity.log_ratio.mean.5kb-20kb.enhancer_DMR,18mo.2mo.activity.log_ratio.min.5kb-20kb.enhancer_DMR,18mo.9mo.activity.log_ratio.count.0-5kb.enhancer_DMR,18mo.9mo.activity.log_ratio.min.5kb-20kb.enhancer_DMR,count.enhancer_DMR,18mo.9mo.contact.log_ratio.mean.5kb-20kb.enhancer_DMR,18mo.2mo.contact.log_ratio.mean.5kb-20kb.enhancer_DMR,9mo.2mo.activity.log_ratio.mean.5kb-20kb.enhancer_DMR,9mo.2mo.activity.log_ratio.median.20kb-5Mb.enhancer_peak,18mo.9mo.activity.log_ratio.max.20kb-5Mb.enhancer_peak,18mo.2mo.contact.log_ratio.mean.20kb-5Mb.enhancer_peak,18mo.9mo.contact.log_ratio.count.20kb-5Mb.enhancer_peak,9mo.2mo.contact.log_ratio.mean.20kb-5Mb.enhancer_peak,18mo.9mo.activity.log_ratio.min.20kb-5Mb.enhancer_peak,18mo.9mo.activity.log_ratio.median.20kb-5Mb.enhancer_peak,18mo.2mo.activity.log_ratio.count.0-5kb.enhancer_peak,18mo.9mo.contact.log_ratio.min.20kb-5Mb.enhancer_peak,18mo.9mo.contact.log_ratio.std.20kb-5Mb.enhancer_peak,18mo.2mo.contact.log_ratio.max.20kb-5Mb.enhancer_peak,18mo.2mo.activity.log_ratio.mean.20kb-5Mb.enhancer_peak,18mo.2mo.contact.log_ratio.min.20kb-5Mb.enhancer_peak,18mo.9mo.contact.log_ratio.median.20kb-5Mb.enhancer_peak,18mo.2mo.activity.log_ratio.std.20kb-5Mb.enhancer_peak,18mo.9mo.activity.log_ratio.std.20kb-5Mb.enhancer_peak,9mo.2mo.contact.log_ratio.max.20kb-5Mb.enhancer_peak,18mo.2mo.activity.log_ratio.max.20kb-5Mb.enhancer_peak,count.enhancer_peak,18mo.9mo.contact.log_ratio.max.20kb-5Mb.enhancer_peak,9mo.2mo.activity.log_ratio.max.20kb-5Mb.enhancer_peak,18mo.9mo.contact.log_ratio.mean.20kb-5Mb.enhancer_peak,18mo.9mo.activity.log_ratio.count.0-5kb.enhancer_peak,9mo.2mo.activity.log_ratio.min.20kb-5Mb.enhancer_peak,18mo.2mo.contact.log_ratio.std.20kb-5Mb.enhancer_peak,18mo.9mo.activity.log_ratio.mean.20kb-5Mb.enhancer_peak,18mo.2mo.activity.log_ratio.min.20kb-5Mb.enhancer_peak,9mo.2mo.log_ratio.DAR,18mo.2mo.log_ratio.DAR,rel_pos.DAR,9mo.2mo.log_ratio.DMR,size.log2.DMR,18mo.2mo.log_ratio.DMR,rel_pos.DMR,distance.log2.DMR,18mo.9mo.Q.std.loops,9mo.2mo.Q.median.loops,loop_size.log.max.loops,Tanova.std.loops,18mo.2mo.Q.mean.loops,18mo.9mo.Q.max.loops,18mo.2mo.Q.median.loops,18mo.9mo.Q.mean.loops,18mo.9mo.T.median.loops,Qanova.min.loops,18mo.2mo.T.median.loops,9mo.2mo.T.min.loops,loop_size.log.min.loops,Tanova.median.loops,Tanova.min.loops,Tanova.max.loops,Qanova.mean.loops,9mo.2mo.Q.mean.loops,loop_size.log.median.loops,18mo.9mo.Q.median.loops,min_distance.log.std.loops,min_distance.log.mean.loops,9mo.2mo.T.median.loops,18mo.2mo.Q.min.loops,18mo.9mo.T.min.loops,Qanova.median.loops,loop_size.log.std.loops,18mo.2mo.T.min.loops,min_distance.log.median.loops,18mo.2mo.T.mean.loops,18mo.2mo.Q.std.loops,min_distance.log.min.loops,18mo.9mo.T.std.loops,18mo.2mo.Q.max.loops,18mo.9mo.Q.min.loops,9mo.2mo.Q.min.loops,9mo.2mo.Q.max.loops,9mo.2mo.T.mean.loops,9mo.2mo.Q.std.loops,18mo.2mo.T.std.loops,loop_size.log.mean.loops,min_distance.log.max.loops,18mo.9mo.log_ratio.mcg_genebody,18mo.2mo.log_ratio.mcg_genebody,9mo.2mo.log_ratio.mcg_genebody,18mo.2mo.log_ratio.mch_genebody,9mo.2mo.log_ratio.mch_genebody,18mo.9mo.log_ratio.mch_genebody,18mo.2mo.log_ratio.mean.atac,18mo.2mo.log_ratio.max.atac,log2_distance.max.atac,18mo.2mo.log_ratio.std.atac,9mo.2mo.log_ratio.min.atac,9mo.2mo.log_ratio.std.atac,18mo.9mo.log_ratio.std.atac,count.atac,18mo.2mo.log_ratio.min.atac,log2_distance.mean.atac,log2_distance.std.atac,log2_distance.min.atac,9mo.2mo.log_ratio.mean.atac,18mo.9mo.log_ratio.max.atac,18mo.9mo.log_ratio.mean.atac,9mo.2mo.log_ratio.max.atac,DEG,pred
Nsmce2,0.007886931467801332,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.004848522618412971,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.10606908064335585,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008324154838919639,-0.019627257250249386,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10244360584765673,0.0,0.042843705639243126,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.015297767240554094,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.036283678598701956,0.0,0.00955798326060176,0.0,0.0,0.0,0.0,-0.0783594310283661,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.030221139080822468,0.0,0.0,0.0,0.0,-0.003190069235861301,0.0,0.0,-0.028025996647775175,0.004656728804111481,-0.026168065667152404,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.10990749767050147,0.0,0.0,0.0,-0.044938104627653956,-0.015297767240554094,-0.006128069236874581,0.02314266842789948,1.0,0.0
Afg3l2,0.012522649765014649,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.004848522618412971,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07063245426863432,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007962235063314439,0.01919109597802162,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14513604201376437,0.0,-0.006209232714027167,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0034925466030836104,0.0,0.023903311640024186,0.0,0.0,0.0,0.0,0.014191078022122383,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.019939720630645752,0.0,0.0,0.0,0.0,-0.0016378263011574746,0.0,0.0,0.11103584367781877,0.006985093206167221,-0.008158609718084336,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.09063868433237075,0.0,0.0,0.0,-0.1916644737496972,0.003916228227317333,-0.006128069236874581,-0.04291512221097946,1.0,1.0
D330041H03Rik,-0.05462854903191328,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004848522618412971,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05646294493228197,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007962235063314439,0.04899544958025217,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.058382738083601,0.0,-0.0028976419940590858,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.34292808920145e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.017074672281742097,0.0,0.006782553233206272,0.002716425135731697,0.0,0.0,0.0,0.003393518701195717,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.019939720630645752,0.0,0.0,0.0,0.0,0.02619835838675499,0.0,0.0,0.0511241475213319,0.021537370719015597,0.013277641721069813,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04315483054146171,0.0,0.0,0.0,0.16047491835430264,0.0070492109563201665,0.007930442541837692,0.039426023149862884,1.0,2.0
Tmem255a,0.02913359665311873,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.004848522618412971,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.07064591575413942,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005066876858472824,-0.019627257250249386,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03936212277971208,0.0,-0.0028976419940590858,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0003671463951468468,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006597032472491264,0.0,-0.018981010615825654,0.0007761214673519134,0.0,0.0,0.0,0.001851010210812092,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.030221139080822468,0.0,0.0,0.0,0.0,0.014090863494202495,0.0,0.0,0.043634112570434806,0.009235845459625126,0.05798397347331047,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.18437505910173058,0.0,0.0,0.0,0.15568172467872501,0.01774540912359953,0.007930442541837692,0.020736355194821955,1.0,1.0
Asb13,0.017938763983547688,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004848522618412971,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05945665212348104,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.013933911360800267,-0.00668780617415905,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08971327733248473,0.0,-0.005381335001438856,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0023283644020557406,0.0,0.004487183195305988,0.0,0.0,0.0,0.0,0.002591414302587509,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.019939720630645752,0.0,0.0,0.0,0.0,-0.0011227964237332344,0.0,0.0,-0.14374370884150267,-0.03511949639767408,-0.008158609718084336,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07531920764595271,0.0,0.0,0.0,-0.28103576075285674,0.003916228227317333,-0.006128069236874581,-0.054585481006652115,1.0,1.0
Dync1li1,0.012002958375960588,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004848522618412971,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1255149408057332,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008324154838919639,-0.00668780617415905,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1163616194203496,0.0,0.0072441048361361025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0023283644020557406,0.0,-0.07465121127665043,0.0,0.0,0.0,0.0,0.004936027210205794,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.019939720630645752,0.0,0.0,0.0,0.0,-0.041802112236619,0.0,0.0,0.023830208033323287,0.004656728804111481,-0.026168065667152404,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.027676267866045236,0.0,0.0,0.0,-0.05428472802275792,-0.023497369401156903,-0.006128069236874581,-0.02462996602989733,1.0,1.0
Zfp317,0.01890891581773758,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004848522618412971,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0985799229890108,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.047140050772577526,0.01919109597802162,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07552885827491991,0.0,-0.005381335001438856,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0034925466030836104,0.0,-0.026710048894165082,0.0,0.0,0.0,0.0,0.002591414302587509,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.030221139080822468,0.0,0.0,0.0,0.0,0.01627854000777006,0.0,0.0,0.008343735262751579,0.006985093206167221,-0.008158609718084336,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07590129874646663,0.0,0.0,0.0,-0.12091648247092962,0.003916228227317333,-0.006128069236874581,-0.07934917277656496,1.0,1.0
Lypd1,0.011427108068019151,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.004848522618412971,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.08331772718578577,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008324154838919639,-0.019627257250249386,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.12923616448417305,0.0,-0.006209232714027167,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0034925466030836104,0.0,0.008821971714496613,0.0,0.0,0.0,0.0,0.002159511893987656,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.011839209124445915,0.0,0.0,0.0,0.0,0.05033932439982891,0.0,0.0,0.16265002600848674,0.006985093206167221,-0.012654104484245182,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.06338709115982055,0.0,0.0,0.0,-0.15124349534511566,0.003916228227317333,0.028117023557424545,0.022062912471592425,1.0,1.0
Slc30a6,0.03461458299309015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.004848522618412971,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09975615281611681,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01918174810707569,-0.019627257250249386,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06379702540114522,0.0,0.010348721258342266,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0003671463951468468,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.017074672281742097,0.0,0.006782553233206272,0.002716425135731697,0.0,0.0,0.0,0.003393518701195717,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.019939720630645752,0.0,0.0,0.0,0.0,0.01566510949283838,0.0,0.0,0.07575234863907099,0.021537370719015597,-0.008158609718084336,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.08145427519455552,0.0,0.0,0.0,0.14166545130312444,0.01774540912359953,0.007930442541837692,0.02314266842789948,1.0,2.0
Cdk16,0.017550703249871732,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004848522618412971,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0985799229890108,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.047140050772577526,-0.00668780617415905,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09600470654666424,0.0,-0.0028976419940590858,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0023283644020557406,0.0,-0.026710048894165082,0.0,0.0,0.0,0.0,0.002591414302587509,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.030221139080822468,0.0,0.0,0.0,0.0,-0.041802112236619,0.0,0.0,0.04069689814001322,0.004656728804111481,-0.008158609718084336,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03931015381589532,0.0,0.0,0.0,-0.07728817778872327,0.003916228227317333,-0.006128069236874581,-0.052888721646741035,1.0,1.0
Dctn4,0.009839148260653019,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.07111166507005691,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07593369510024786,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008867034502327443,-0.008577838353812695,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04814423711970448,0.0,-0.021525340005755424,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0023283644020557406,0.0,-0.025832467377185822,0.0,0.0,0.0,0.0,0.002591414302587509,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.030221139080822468,0.0,0.0,0.0,0.0,-0.0011227964237332344,0.0,0.0,-0.6490677455440164,-0.03511949639767408,-0.008158609718084336,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.17340642537921666,0.0,0.0,0.0,-0.07926408158615232,0.002447642758488655,0.007930442541837692,0.012029475951567292,1.0,0.0
Vma21,0.014104368779808283,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.004848522618412971,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1255149408057332,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008324154838919639,-0.00668780617415905,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09600470654666424,0.0,-0.005381335001438856,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0023283644020557406,0.0,-0.026710048894165082,0.0,0.0,0.0,0.0,0.002591414302587509,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.030221139080822468,0.0,0.0,0.0,0.0,-0.003190069235861301,0.0,0.0,0.010471823271363973,-0.03511949639767408,-0.026168065667152404,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06285742342472077,0.0,0.0,0.0,-0.09126749012619256,0.003916228227317333,-0.006128069236874581,-0.052888721646741035,1.0,1.0
Ggct,0.012522649765014649,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004848522618412971,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07063245426863432,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007962235063314439,0.01919109597802162,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06147034616093151,0.0,-0.006209232714027167,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0034925466030836104,0.0,-0.026710048894165082,0.0,0.0,0.0,0.0,0.002591414302587509,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.030221139080822468,0.0,0.0,0.0,0.0,0.01627854000777006,0.0,0.0,0.09205399611964822,0.006985093206167221,-0.008158609718084336,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.09063868433237075,0.0,0.0,0.0,-0.23244655128568412,0.003916228227317333,0.007930442541837692,-0.07934917277656496,1.0,1.0
Ran,-0.2571536724641919,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004848522618412971,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.08236578106880188,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.01257671220228076,0.01919109597802162,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.048673232113942505,0.0,-0.0028976419940590858,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.34292808920145e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006597032472491264,0.0,-0.00818132134154439,0.0007761214673519134,0.0,0.0,0.0,0.0004627525433897972,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.011839209124445915,0.0,0.0,0.0,0.0,-0.0008674104139208793,0.0,0.0,0.02095483962446451,0.008925396874547005,-0.026168065667152404,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.017762173507362602,0.0,0.0,0.0,0.11540981970727443,0.0070492109563201665,0.028117023557424545,-0.0530956782028079,1.0,1.0
Ppp5c,0.03335605259053409,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004848522618412971,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.062450142987072466,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007962235063314439,0.04899544958025217,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.06955121028237045,0.0,-0.0028976419940590858,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0003671463951468468,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006208971738815307,0.0,0.003917383356019854,-0.1320182615891099,0.0,0.0,0.0,0.0006170034036040306,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007165837101638317,0.0,0.0,0.0,0.0,0.021670864401385187,0.0,0.0,0.03988008899614215,0.009235845459625126,0.019264839738607407,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04121452687308192,0.0,0.0,0.0,0.2169501786492765,0.01774540912359953,0.028117023557424545,0.037081410260871056,1.0,2.0
Bet1l,-0.2571536724641919,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.004848522618412971,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.10634296599775553,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008324154838919639,-0.019627257250249386,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.05546824336983264,0.0,-0.005381335001438856,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.34292808920145e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006597032472491264,0.0,0.003917383356019854,0.0007761214673519134,0.0,0.0,0.0,0.0006170034036040306,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.011839209124445915,0.0,0.0,0.0,0.0,-0.0008674104139208793,0.0,0.0,-0.0013711783848702908,0.008925396874547005,-0.026168065667152404,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.053771226704120635,0.0,0.0,0.0,0.11123872715979814,0.0070492109563201665,0.028117023557424545,0.020798055538907647,1.0,1.0
Il1rapl2,0.015074520613998174,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.004848522618412971,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1255149408057332,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008324154838919639,-0.00668780617415905,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07552885827491991,0.0,-0.005381335001438856,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0034925466030836104,0.0,-0.026710048894165082,0.0,0.0,0.0,0.0,0.002591414302587509,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.030221139080822468,0.0,0.0,0.0,0.0,0.01627854000777006,0.0,0.0,0.011062472593039274,0.006985093206167221,-0.026168065667152404,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0634395145252347,0.0,0.0,0.0,-0.13567191626876593,0.003916228227317333,-0.006128069236874581,-0.052888721646741035,1.0,1.0
Rpl23a,-0.21289396644569933,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004848522618412971,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07390823617577552,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01918174810707569,0.01919109597802162,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06379702540114522,0.0,-0.005381335001438856,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.34292808920145e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00372538304887712,0.0,0.006782553233206272,0.0003492546640336514,0.0,0.0,0.0,0.003393518701195717,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.019939720630645752,0.0,0.0,0.0,0.0,-0.05259477355517447,0.0,0.0,0.020320810051634906,0.00551046242006123,0.019264839738607407,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03811037862673402,0.0,0.0,0.0,0.03491661725565791,0.0070492109563201665,0.007930442541837692,-0.049856410352513196,1.0,1.0
Cbfa2t3,0.03716645384207368,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.004848522618412971,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.06500084329396487,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005066876858472824,-0.019627257250249386,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.06955121028237045,0.0,-0.0028976419940590858,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0003671463951468468,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.017074672281742097,0.0,0.003917383356019854,0.002716425135731697,0.0,0.0,0.0,0.0006170034036040306,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007165837101638317,0.0,0.0,0.0,0.0,0.03377835929393768,0.0,0.0,0.06908301670104265,0.021537370719015597,0.02873223479837179,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.030693046879023314,0.0,0.0,0.0,0.2926022484898567,0.01774540912359953,0.028117023557424545,0.020798055538907647,1.0,2.0
