gene_name,gene_length.meta,9mo.2mo.contact.log_ratio.median.5kb-20kb.enhancer_DMR,18mo.9mo.activity.log_ratio.count.5kb-20kb.enhancer_DMR,18mo.2mo.contact.log_ratio.count.5kb-20kb.enhancer_DMR,9mo.2mo.contact.log_ratio.count.5kb-20kb.enhancer_DMR,18mo.9mo.contact.log_ratio.max.5kb-20kb.enhancer_DMR,9mo.2mo.contact.log_ratio.max.5kb-20kb.enhancer_DMR,18mo.9mo.activity.log_ratio.mean.5kb-20kb.enhancer_DMR,18mo.2mo.activity.log_ratio.min.5kb-20kb.enhancer_DMR,18mo.9mo.activity.log_ratio.count.0-5kb.enhancer_DMR,18mo.9mo.activity.log_ratio.min.5kb-20kb.enhancer_DMR,count.enhancer_DMR,18mo.9mo.contact.log_ratio.mean.5kb-20kb.enhancer_DMR,18mo.2mo.contact.log_ratio.mean.5kb-20kb.enhancer_DMR,9mo.2mo.activity.log_ratio.mean.5kb-20kb.enhancer_DMR,9mo.2mo.activity.log_ratio.median.20kb-5Mb.enhancer_peak,18mo.9mo.activity.log_ratio.max.20kb-5Mb.enhancer_peak,18mo.2mo.contact.log_ratio.mean.20kb-5Mb.enhancer_peak,18mo.9mo.contact.log_ratio.count.20kb-5Mb.enhancer_peak,9mo.2mo.contact.log_ratio.mean.20kb-5Mb.enhancer_peak,18mo.9mo.activity.log_ratio.min.20kb-5Mb.enhancer_peak,18mo.9mo.activity.log_ratio.median.20kb-5Mb.enhancer_peak,18mo.2mo.activity.log_ratio.count.0-5kb.enhancer_peak,18mo.9mo.contact.log_ratio.min.20kb-5Mb.enhancer_peak,18mo.9mo.contact.log_ratio.std.20kb-5Mb.enhancer_peak,18mo.2mo.contact.log_ratio.max.20kb-5Mb.enhancer_peak,18mo.2mo.activity.log_ratio.mean.20kb-5Mb.enhancer_peak,18mo.2mo.contact.log_ratio.min.20kb-5Mb.enhancer_peak,18mo.9mo.contact.log_ratio.median.20kb-5Mb.enhancer_peak,18mo.2mo.activity.log_ratio.std.20kb-5Mb.enhancer_peak,18mo.9mo.activity.log_ratio.std.20kb-5Mb.enhancer_peak,9mo.2mo.contact.log_ratio.max.20kb-5Mb.enhancer_peak,18mo.2mo.activity.log_ratio.max.20kb-5Mb.enhancer_peak,count.enhancer_peak,18mo.9mo.contact.log_ratio.max.20kb-5Mb.enhancer_peak,9mo.2mo.activity.log_ratio.max.20kb-5Mb.enhancer_peak,18mo.9mo.contact.log_ratio.mean.20kb-5Mb.enhancer_peak,18mo.9mo.activity.log_ratio.count.0-5kb.enhancer_peak,9mo.2mo.activity.log_ratio.min.20kb-5Mb.enhancer_peak,18mo.2mo.contact.log_ratio.std.20kb-5Mb.enhancer_peak,18mo.9mo.activity.log_ratio.mean.20kb-5Mb.enhancer_peak,18mo.2mo.activity.log_ratio.min.20kb-5Mb.enhancer_peak,9mo.2mo.log_ratio.DAR,18mo.2mo.log_ratio.DAR,rel_pos.DAR,9mo.2mo.log_ratio.DMR,size.log2.DMR,18mo.2mo.log_ratio.DMR,rel_pos.DMR,distance.log2.DMR,18mo.9mo.Q.std.loops,9mo.2mo.Q.median.loops,loop_size.log.max.loops,Tanova.std.loops,18mo.2mo.Q.mean.loops,18mo.9mo.Q.max.loops,18mo.2mo.Q.median.loops,18mo.9mo.Q.mean.loops,18mo.9mo.T.median.loops,Qanova.min.loops,18mo.2mo.T.median.loops,9mo.2mo.T.min.loops,loop_size.log.min.loops,Tanova.median.loops,Tanova.min.loops,Tanova.max.loops,Qanova.mean.loops,9mo.2mo.Q.mean.loops,loop_size.log.median.loops,18mo.9mo.Q.median.loops,min_distance.log.std.loops,min_distance.log.mean.loops,9mo.2mo.T.median.loops,18mo.2mo.Q.min.loops,18mo.9mo.T.min.loops,Qanova.median.loops,loop_size.log.std.loops,18mo.2mo.T.min.loops,min_distance.log.median.loops,18mo.2mo.T.mean.loops,18mo.2mo.Q.std.loops,min_distance.log.min.loops,18mo.9mo.T.std.loops,18mo.2mo.Q.max.loops,18mo.9mo.Q.min.loops,9mo.2mo.Q.min.loops,9mo.2mo.Q.max.loops,9mo.2mo.T.mean.loops,9mo.2mo.Q.std.loops,18mo.2mo.T.std.loops,loop_size.log.mean.loops,min_distance.log.max.loops,18mo.9mo.log_ratio.mcg_genebody,18mo.2mo.log_ratio.mcg_genebody,9mo.2mo.log_ratio.mcg_genebody,18mo.2mo.log_ratio.mch_genebody,9mo.2mo.log_ratio.mch_genebody,18mo.9mo.log_ratio.mch_genebody,18mo.2mo.log_ratio.mean.atac,18mo.2mo.log_ratio.max.atac,log2_distance.max.atac,18mo.2mo.log_ratio.std.atac,9mo.2mo.log_ratio.min.atac,9mo.2mo.log_ratio.std.atac,18mo.9mo.log_ratio.std.atac,count.atac,18mo.2mo.log_ratio.min.atac,log2_distance.mean.atac,log2_distance.std.atac,log2_distance.min.atac,9mo.2mo.log_ratio.mean.atac,18mo.9mo.log_ratio.max.atac,18mo.9mo.log_ratio.mean.atac,9mo.2mo.log_ratio.max.atac,DEG,pred
Zfp68,-0.016774130016565324,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0027331050857901575,0.0,0.0,0.0,0.0,-0.0012865743041038512,0.03823824018239975,0.0,0.0,0.013666432164609433,0.014620295763015746,0.015258390866219997,0.0,0.0009559930115938187,0.0,0.0,0.0017246596282348037,0.0,0.0,0.0,0.0,-0.03050041288137436,-0.0016169270500540733,0.0,0.0,0.0,0.14449934135191142,0.0,-0.0021839307877235116,0.0,0.0,0.0,0.0,-0.0055595853924751285,-0.005445285513997078,-0.011353886276483536,0.0,0.0,0.0,0.007494227774441242,0.0,-0.004876198470592499,0.0,0.0,0.026922509912401436,-0.0033944991230964662,0.0,-0.0007371033262461424,-0.010714071290567517,0.0,0.0,0.0,0.0010114218591479585,-0.0008778292685747147,0.0,0.0008486247807741166,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003401371445506811,0.0,-0.034135457834927364,0.0,-0.0026729388162493707,0.0,-0.00524948020465672,0.0,0.0,0.0,0.0,-0.001289683731738478,0.0013744866708293557,-0.0032228149473667147,0.0,0.013702025357633828,0.0,0.0008581049460917712,0.0,-0.13403278435580432,-0.10440218644216656,-0.06698312919586896,-0.21563537131994961,-0.018660141378641127,0.002362380074337125,-0.03433509223163128,-0.008731403183192014,0.005772199742496014,-0.010471173487603664,-0.0027370237186551093,0.0,-0.012739637717604637,-0.053842427637428046,0.0,0.0,-0.008672446766868234,0.08060144359245897,-0.0221586025506258,-0.04977859022095799,0.43278484266251327,1.0,1.0
Pigm,-0.00693334074690938,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.03915921678766608,0.0,0.0,0.0,0.0,-0.0012865743041038512,0.05766378879547119,0.0,0.0,0.008682203963398933,0.022646934278309345,-0.014191707707941531,0.0,0.0012746573984622955,0.0,0.0,0.002512004403397441,0.0,0.0,0.0,0.0,-0.014479334428906442,-0.0014402464032173157,0.0,0.0,0.0,-0.24506843630224467,0.0,0.004155643009580672,0.0,0.0,0.0,0.0,-0.002048268299549818,-0.01153119295835495,-0.005579013340175152,0.0,0.0,0.0,0.007494227774441242,0.0,-0.01107028841972351,0.0,0.0,0.015126186907291412,0.04989913709461689,0.0,-0.0023722046613693236,0.011803975589573383,0.0,0.0,0.0,0.0015342489117756487,0.0,0.0,0.02924926742911339,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0020847116224467755,0.0,0.10285081677138805,0.0,-0.0010691755264997482,0.0,-0.09318992048501969,0.0,0.0,0.0,0.0,-0.007321503488346934,0.002339640147984028,0.01324935033917427,0.0,0.00714888297021389,0.0,0.0008044733852148056,0.0,0.09485287923365832,-0.010769547522068023,-0.03187860507518053,-0.1606629083957523,-0.00701205619610846,9.117858484387397e-05,-0.007980116130784153,-0.01433989528566599,0.025768748819828033,-0.030092615392059086,-0.0007982985861599445,0.0,-0.004043846819549799,0.283540065176785,0.0,0.0,-0.0058417700207792226,0.6414917225297541,-0.026795962601900102,-0.02463261965662241,0.043322666846215725,1.0,1.0
Fam98c,-0.016774130016565324,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03401163917034864,0.0,0.0,0.0,0.0,-0.0012865743041038512,0.01852040957659483,0.0,0.0,0.008521422408521176,0.05918901704251766,0.015258390866219997,0.0,0.0007647944241762161,0.0,0.0,0.007048609182238579,0.0,0.0,0.0,0.0,-0.047951424829661846,0.01653539199149236,0.0,0.0,0.0,0.16097648110240698,0.0,0.04062389012426138,0.0,0.0,0.0,0.0,-0.0055595853924751285,-0.01153119295835495,-0.011353886276483536,0.0,0.0,0.0,-0.04264572434127331,0.0,-0.01107028841972351,0.0,0.0,0.06610168732702731,-0.0033944991230964662,0.0,-0.001728625949472189,0.06744030490517616,0.0,0.0,0.0,-0.056278454400599004,-0.0008778292685747147,0.0,0.0008486247807741166,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.004169423095881939,0.0,0.012384726592572406,0.0,-0.0026729388162493707,0.0,0.0036389601975679396,0.0,0.0,0.0,0.0,0.026431867741048335,-0.00319538458250463,0.00196949802339077,0.0,0.045474837608635424,0.0,0.0014480520971119405,0.0,0.0763496758742258,-0.11146555226296187,-0.05173099007457495,-0.14200980437919497,-0.018660141378641127,0.03392725987359881,-0.023692090064287186,-0.00611835528165102,0.005772199742496014,-0.022292943820357323,-0.0006082274951040745,0.0,-0.012739637717604637,-0.06042232569307089,0.0,0.0,-0.014127868469804525,-0.10593871718272567,-0.0490964450314641,-0.0670145831629634,-0.024354694560170174,1.0,1.0
Ankrd11,0.09833646614104509,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.01993261606665328,0.0,0.0,0.0,0.0,-0.0006432871520519256,-0.013253285922110081,0.0,0.0,-0.0020901602134108543,-0.037690675016492606,0.010991658959537744,0.0,0.0012746573984622955,-0.0028714467585086822,0.0,-0.001987107954919338,0.0,0.0,0.0,0.0,-0.03275643325410783,0.023472526017576455,0.0,0.0,0.0,-0.13449572375044228,0.0,0.0029756594635546208,0.0,0.0,0.0,0.0,-0.0055595853924751285,-0.01153119295835495,-0.011514418497681618,0.0,0.0,0.0,-0.014810021705925465,0.0,-0.01107028841972351,0.0,0.0,-0.024320138450711966,-0.007637623026967049,0.0,-0.0018358890712261199,0.009374976586550475,0.0,0.0,0.0,0.0013988243375206366,-0.0008778292685747147,0.0,0.0014143746346235275,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006012747045606375,0.0,0.013527189415763132,0.0,-0.0026729388162493707,0.0,0.0036389601975679396,0.0,0.0,0.0,0.0,0.0038158683478832244,-0.00319538458250463,0.00196949802339077,0.0,-0.01032616401091218,0.0,-0.0069184711016714575,0.0,0.0318261380167678,-0.07795955879148096,-0.031414484791457656,-0.14645823625847698,0.02469470739364624,-0.01741796805523336,0.0568120712088421,0.0015933217480778694,-0.003916849866509437,-0.03232359891757369,-0.0006082274951040745,0.0,0.12684908960014582,-0.029007190139964223,0.0,0.0,-0.002719678897410631,-0.34338503459468483,0.21878207698464394,-0.024085860308259724,-0.027930565476417542,1.0,2.0
Blvra,-0.006704266713932157,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.00033720092149451373,0.0,0.0,0.0,0.0,-0.0012865743041038512,-0.010325170271098614,0.0,0.0,-0.0035371942073106765,-0.019451391249895096,0.015258390866219997,0.0,-0.0038239721953868865,0.0,0.0,0.0011247780174016952,0.0,0.0,0.0,0.0,-0.03193034637719393,-0.0027423979341983794,0.0,0.0,0.0,0.12503019108437002,0.0,-0.002521753067849204,0.0,0.0,0.0,0.0,-0.002340878061950207,-0.01153119295835495,-0.010892681404948234,0.0,0.0,0.0,0.004282416254281998,0.0,-0.01107028841972351,0.0,0.0,-0.0521485261246562,0.000169724952429533,0.0,-0.0023185731004923583,0.008489115743432194,0.0,0.0,0.0,0.000740133672952652,-0.00029260976240038874,0.0,-0.003224774170666933,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.020079063661396505,0.0,-0.033965732890064826,0.0,-0.0026729388162493707,0.0,0.0036389601975679396,0.0,0.0,0.0,0.0,-0.0012099094851873815,-7.423385977745056e-05,0.00196949802339077,0.0,0.045474837608635424,0.0,0.0008581049460917712,0.0,-0.11651007312349976,-0.06557411585003138,-0.046460028551518914,-0.23078858621418477,-0.0021618625428527593,-0.011508088721893728,0.14751859597861766,-0.0038239721953868865,-0.003916849866509437,-0.027757351584732533,-0.003801421821117401,0.0,-0.0042566808685660365,-0.02906750811263919,0.0,0.0,-0.007760300869122148,-0.02102121136151254,-0.006707505397498608,0.3602614077925682,-0.03609700474888086,1.0,2.0
Qsox1,-0.007084797564893961,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09411488130688667,0.0,0.0,0.0,0.0,-0.0006432871520519256,-0.013253285922110081,0.0,0.0,-0.0020901602134108543,-0.0782608331926167,0.06187267243862152,0.0,0.0032503763027489185,-0.0018888142332434655,0.0,-0.0006748668104410171,0.0,0.0,0.0,0.0,0.1616218188032508,0.02200196523219347,0.0,0.0,0.0,0.14981722513679416,0.0,0.012669513635337352,0.0,0.0,0.0,0.0,-0.0017556585371494293,-0.004804663732647896,-0.004930442562326789,0.0,0.0,0.0,0.0269435328617692,0.0,-0.004217252731323242,0.0,0.0,0.02283890563994646,-0.0035076490975916386,0.0,-0.0004107344709336758,0.02215799259953201,0.0,0.0,0.0,0.0006276558712124824,-0.00029260976240038874,0.0,0.0010183497332036495,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0010533279180526733,0.0,0.019953987988410516,0.0,-0.0007127837091684342,0.0,0.0012524294480681418,0.0,0.0,0.0,0.0,0.008345272922888398,-0.00140452079474926,-0.003043769672513008,0.0,-0.029985591620206833,0.0,0.0014480520971119405,0.0,0.0014674093946814538,-0.019566409615799786,0.4910220295470208,0.9172148557007312,-0.0011083049699664115,0.01667275919113308,-0.0036888879537582396,0.007647944316267967,-0.0020615000277757643,0.03915089212357998,0.002394895749166608,0.0,-0.004712753826752305,-0.010376651212573052,0.0,0.0,-0.009458692958578468,-0.34235547472722827,-0.028315991051495074,-0.03472189632244408,-0.01422364997677505,1.0,0.0
Sprtn,-0.016774130016565324,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.03915921678766608,0.0,0.0,0.0,0.0,-0.0012865743041038512,-0.013253285922110081,0.0,0.0,-0.0035371942073106765,-0.09494703762233257,-0.014191707707941531,0.0,0.0007647944241762161,0.0,0.0,0.00393672313541174,0.0,0.0,0.0,0.0,-0.047951424829661846,-0.003993177115917206,0.0,0.0,0.0,-0.18442183999344708,0.0,-0.008986716428771614,0.0,0.0,0.0,0.0,-0.0055595853924751285,-0.01153119295835495,-0.01087228961288929,0.0,0.0,0.0,0.007494227774441242,0.0,-0.01107028841972351,0.0,0.0,0.013717882474884391,0.000396024901419878,0.0,-0.0022649415396153927,0.010941564096137881,0.0,0.0,0.0,0.006559009589254856,-0.0008778292685747147,0.0,0.0012446496821939945,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003401371445506811,0.0,-0.01696199266240001,0.0,-0.0026729388162493707,0.0,0.002206598063930869,0.0,0.0,0.0,0.0,0.003629728420637548,0.005633292859420181,-0.005550403222441673,0.0,-0.01032616401091218,0.0,0.0011798943020403386,0.0,0.07641093546524644,-0.12206580381840468,-0.04074024017900228,-0.13966429995372892,-0.018660141378641127,0.020498109310865403,-0.03433509223163128,-0.00611835528165102,0.005772199742496014,-0.03828924085944891,-0.001444540321826935,0.0,-0.012739637717604637,-0.06702115572988987,0.0,0.0,-0.006633540168404579,-0.057771268226206304,-0.026795962601900102,-0.07167581068351865,-0.034980943538248536,1.0,2.0
Nrxn2,0.09833646614104509,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0341042727115564,0.0,0.0,0.0,0.0,-0.0012865743041038512,0.01852040957659483,0.0,0.0,0.008521422408521176,0.0402621591091156,0.015258390866219997,0.0,0.0009559930115938187,-0.0028714467585086822,0.0,0.005173979066312313,0.0,0.0,0.0,0.0,-0.03275643325410783,0.014895322656957432,0.0,0.0,0.0,0.06933447951450944,0.0,0.0029630050202831626,0.0,0.0,0.0,0.0,-0.0055595853924751285,0.1493103388696909,-0.014403998479247093,0.0,0.0,0.0,-0.013560983631759883,0.0,-0.004876198470592499,0.0,0.0,-0.0452013635635376,-0.007637623026967049,0.0,-0.0007325238361954689,-0.0074256750289350745,0.0,0.0,0.0,0.004520678264088929,-0.0008778292685747147,0.0,0.0014143746346235275,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00311609526630491,0.0,0.013527189415763132,0.0,-0.0026729388162493707,0.0,0.0036389601975679396,0.0,0.0,0.0,0.0,0.002512888913042843,-0.00319538458250463,0.00196949802339077,0.0,-0.029985591620206833,0.0,-0.002788841091096401,0.0,0.056902180784381924,-0.06239295885898173,-0.05325912889093161,-0.16833940740674735,-0.013460909761488438,-0.0693902731128037,0.03279416936216876,0.0009559930115938187,0.005772199742496014,-0.041490221321582796,-0.0006082274951040745,0.0,0.12684908960014582,-0.04014252579770982,0.0,0.0,-0.005696793263778091,-0.4415447036921978,-0.025548848174512386,-0.03601411053910852,-0.029599263854324816,1.0,2.0
Maf1,-0.016774130016565324,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.019563801642507313,0.0,0.0,0.0,0.0,-0.0012865743041038512,-0.04353906039148569,0.0,0.0,-0.0035371942073106765,0.0290956611558795,-0.014191707707941531,0.0,-0.006309553887695074,0.0,0.0,0.005511412471532822,0.0,0.0,0.0,0.0,-0.03050041288137436,-0.003993177115917206,0.0,0.0,0.0,0.1453917235508561,0.0,-0.0070201343251392245,0.0,0.0,0.0,0.0,-0.0055595853924751285,-0.01153119295835495,-0.014403998479247093,0.0,0.0,0.0,-0.013560983631759883,0.0,-0.01107028841972351,0.0,0.0,-0.056646907888352874,0.000396024901419878,0.0,-0.0022649415396153927,0.010846887894440443,0.0,0.0,0.0,0.004308701464906335,-0.0008778292685747147,0.0,0.0012446496821939945,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003401371445506811,0.0,-0.01696199266240001,0.0,-0.0026729388162493707,0.0,0.002206598063930869,0.0,0.0,0.0,0.0,0.003939961625728756,-0.00319538458250463,-0.005550403222441673,0.0,0.045474837608635424,0.0,0.0011798943020403386,0.0,0.10526909693609923,-0.11271466579288245,-0.05173099007457495,-0.25338031655177473,-0.018660141378641127,0.015838071573525667,-0.03433509223163128,-0.006309553887695074,0.005772199742496014,-0.04179680734872818,-0.0006082274951040745,0.0,-0.012739637717604637,-0.06061352429911494,0.0,0.0,-0.007979306764900685,0.03660722171887756,-0.030186208225786687,-0.0670145831629634,-0.034739544801414016,1.0,2.0
Emx2os,-0.034519060663878914,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0971691695228219,0.0,0.0,0.0,0.0,-0.0006432871520519256,-0.017075040228664875,0.0,0.0,-0.004019538871943951,0.04921598494052887,-0.014191707707941531,0.0,0.0019119860231876374,0.0,0.0,-0.002661974811926484,0.0,0.0,0.0,0.0,0.03922966642305255,0.041603393759578465,0.0,0.0,0.0,-0.24212265884503723,0.0,0.0024443156039342284,0.0,0.0,0.0,0.0,0.06127248303033411,-0.01153119295835495,-0.003695790693163872,0.0,0.0,0.0,0.009813869912177324,0.0,-0.01107028841972351,0.0,0.0,0.012465041372925043,0.006506123319268226,0.0,-0.02248403923586011,-0.008347667567431927,0.0,0.0,0.0,-0.0075005795853212475,0.0,0.0,0.0048088737577199935,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0020847116224467755,0.0,-0.04100203804671764,0.0,-0.0007127837091684342,0.0,0.03346859738230705,0.0,0.0,0.0,0.0,0.0022957256715744733,-0.03931090988218784,0.05532498713582754,0.0,-0.005957402475178242,0.0,0.0023597886133939028,0.0,0.10417240271344781,0.2742758559063077,0.14890712544322013,0.023950288519263268,-0.004313759319484234,0.01596830372698605,-0.011794998310506344,0.0031866434216499327,-0.003916849866509437,-0.005204560570418835,-0.0018626967072486878,0.0,-0.0042566808685660365,-0.02868720756843686,0.0,0.0,0.002334506541956216,0.37033546685241164,0.03436724629253149,0.1160866660065949,-0.022197385132312775,1.0,1.0
Rbm27,0.002210297640413046,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03401163917034864,0.0,0.0,0.0,0.0,-0.0012865743041038512,0.05766378879547119,0.0,0.0,0.008521422408521176,0.022646934278309345,-0.014191707707941531,0.0,0.0019119860231876374,0.0,0.0,0.002512004403397441,0.0,0.0,0.0,0.0,0.0634175718203187,0.024656266681849958,0.0,0.0,0.0,0.09840731612406671,0.0,0.009551392034627498,0.0,0.0,0.0,0.0,-0.0055595853924751285,-0.01153119295835495,-0.014403998479247093,0.0,0.0,0.0,-0.0074942284449934955,0.0,-0.01107028841972351,0.0,0.0,-0.0935304445028305,0.000169724952429533,0.0,-0.0010314156860113143,0.01910945157520473,0.0,0.0,0.0,0.0015342489117756487,-0.0008778292685747147,0.0,-0.003224774170666933,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003401371445506811,0.0,-0.033965732890064826,0.0,-0.0026729388162493707,0.0,0.002206598063930869,0.0,0.0,0.0,0.0,0.008500389526598156,0.00090270915068686,-0.005550403222441673,0.0,0.013702025357633828,0.0,0.002413420155644417,0.0,-0.07598671373911202,-0.08275540485978126,-0.06698312919586896,-0.3562133217602968,-0.013156861122697592,0.001331875566393137,-0.03433509223163128,0.0031866434216499327,0.025768748819828033,-0.026931317895650862,-0.0011404265463352203,0.0,-0.004043846819549799,0.2443882165104151,0.0,0.0,-0.0031509289517998697,0.06298714556731283,0.0033888060972094534,-0.022589895953424276,-0.03507697816938162,1.0,1.0
Cds1,-0.005868716984987259,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09726180306402966,0.0,0.0,0.0,0.0,-0.0012865743041038512,0.01852040957659483,0.0,0.0,0.008521422408521176,0.016885573379695415,0.015258390866219997,0.0,0.0009559930115938187,0.0,0.0,0.001687167026102543,0.0,0.0,0.0,0.0,-0.047951424829661846,0.024656266681849958,0.0,0.0,0.0,-0.0832027951348573,0.0,0.0029756594635546208,0.0,0.0,0.0,0.0,-0.0055595853924751285,0.1493103388696909,-0.011514418497681618,0.0,0.0,0.0,0.007494227774441242,0.0,-0.004876198470592499,0.0,0.0,-0.024320138450711966,0.0006788998283445835,0.0,0.00028647579252719877,0.009374976586550475,0.0,0.0,0.0,-0.0028291860187891872,-0.0008778292685747147,0.0,-0.007524473052471876,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.04081645742058754,0.0,0.04600220681866631,0.0,-0.0026729388162493707,0.0,-0.00757706880569458,0.0,0.0,0.0,0.0,0.0038158683478832244,0.005175908543169499,0.000537135824561119,0.0,-0.01032616401091218,0.0,0.002413420155644417,0.0,-0.014223943646065891,-0.0894741816073656,-0.043525794092565774,-0.2815796969085932,-0.013608552552759647,-0.015893020099028946,0.10483686652034521,0.0009559930115938187,-0.003916849866509437,-0.023279560785740613,0.007450786782428622,0.0,-0.012739637717604637,-0.05890426117926836,0.0,0.0,-0.004063074849545956,-0.0671263771224767,-0.028499958999454976,-0.06869249803945422,-0.03119249176234007,1.0,2.0
Pygo2,-0.015187913328409195,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.019563801642507313,0.0,0.0,0.0,0.0,-0.0012865743041038512,-0.013253285922110081,0.0,0.0,-0.0035371942073106765,-0.06367820866405964,0.015258390866219997,0.0,0.0009559930115938187,0.0,0.0,-0.009485628446564079,0.0,0.0,0.0,0.0,-0.047951424829661846,-0.003993177115917206,0.0,0.0,0.0,0.13783057595603168,0.0,-0.005082395174540579,0.0,0.0,0.0,0.0,-0.0055595853924751285,-0.01153119295835495,-0.011353886276483536,0.0,0.0,0.0,0.007494227774441242,0.0,-0.01107028841972351,0.0,0.0,0.02780889058485627,0.0016972495615482331,0.0,-0.0022649415396153927,-0.013612535679712892,0.0,0.0,0.0,0.0033721383567899468,-0.0008778292685747147,0.0,0.0025458743423223493,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0020847116224467755,0.0,0.04871780587360263,0.0,-0.0026729388162493707,0.0,0.002206598063930869,0.0,0.0,0.0,0.0,0.0023887956282123922,-0.0027342940121889113,-0.005550403222441673,0.0,0.045474837608635424,0.0,0.0011798943020403386,0.0,-0.07006357765290887,-0.023242760244756938,-0.0641104868426919,-0.1814610473252833,-0.018660141378641127,0.013074573990888894,-0.011794998310506344,-0.008285273090004921,-0.003916849866509437,-0.024541652649641036,0.0032692227698862555,0.0,-0.012739637717604637,-0.043612115830183026,0.0,0.0,-0.006633540168404579,-0.059061619201675054,-0.024662596359848975,-0.05285574745386839,-0.035280884467065336,1.0,1.0
Prrt3,-0.015187913328409195,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.03915921678766608,0.0,0.0,0.0,0.0,-0.0012865743041038512,-0.04353906039148569,0.0,0.0,-0.0035371942073106765,-0.06367820866405964,0.015258390866219997,0.0,0.0009559930115938187,0.0,0.0,-0.009485628446564079,0.0,0.0,0.0,0.0,-0.03050041288137436,-0.003993177115917206,0.0,0.0,0.0,-0.21819288900122047,0.0,-0.008986716428771614,0.0,0.0,0.0,0.0,-0.0055595853924751285,-0.01153119295835495,-0.01087228961288929,0.0,0.0,0.0,-0.013560983631759883,0.0,-0.01107028841972351,0.0,0.0,0.013717882474884391,-0.007637623026967049,0.0,-0.0022649415396153927,0.010941564096137881,0.0,0.0,0.0,0.0033721383567899468,-0.0008778292685747147,0.0,0.0014143746346235275,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0021944332867860792,0.0,0.019595039558480493,0.0,-0.0026729388162493707,0.0,0.0036389601975679396,0.0,0.0,0.0,0.0,0.003629728420637548,-0.00045344091486185787,0.00196949802339077,0.0,0.014297765605151653,0.0,0.0011798943020403386,0.0,0.07480350090190768,0.016925223506987094,-0.03492981363087892,-0.16026721423491835,-0.018660141378641127,0.013074573990888894,-0.009271399974822998,-0.00892260178923607,0.005772199742496014,-0.03828924085944891,-0.0008363128080964089,0.0,-0.012739637717604637,-0.0718756254389882,0.0,0.0,-0.006633540168404579,0.058558128261938694,-0.02805284198373556,-0.0523443896509707,-0.035280884467065336,1.0,2.0
