gene_name,gene_length.meta,18mo.2mo.activity.log_ratio.min.5kb-20kb.enhancer_DMR,18mo.2mo.activity.log_ratio.mean.5kb-20kb.enhancer_DMR,18mo.2mo.contact.log_ratio.median.20kb-5Mb.enhancer_DMR,9mo.2mo.contact.log_ratio.count.5kb-20kb.enhancer_DMR,18mo.2mo.contact.log_ratio.mean.5kb-20kb.enhancer_DMR,9mo.2mo.activity.log_ratio.max.5kb-20kb.enhancer_DMR,18mo.2mo.activity.log_ratio.mean.20kb-5Mb.enhancer_DMR,18mo.9mo.contact.log_ratio.max.5kb-20kb.enhancer_DMR,18mo.9mo.activity.log_ratio.max.20kb-5Mb.enhancer_DMR,18mo.2mo.contact.log_ratio.max.20kb-5Mb.enhancer_DMR,18mo.9mo.contact.log_ratio.median.5kb-20kb.enhancer_DMR,18mo.9mo.activity.log_ratio.mean.5kb-20kb.enhancer_DMR,18mo.9mo.activity.log_ratio.min.5kb-20kb.enhancer_DMR,18mo.9mo.contact.log_ratio.mean.5kb-20kb.enhancer_DMR,9mo.2mo.activity.log_ratio.count.5kb-20kb.enhancer_DMR,18mo.2mo.contact.log_ratio.median.5kb-20kb.enhancer_DMR,9mo.2mo.contact.log_ratio.median.5kb-20kb.enhancer_DMR,9mo.2mo.contact.log_ratio.mean.20kb-5Mb.enhancer_DMR,9mo.2mo.contact.log_ratio.mean.5kb-20kb.enhancer_DMR,9mo.2mo.contact.log_ratio.max.5kb-20kb.enhancer_DMR,18mo.2mo.contact.log_ratio.max.5kb-20kb.enhancer_DMR,9mo.2mo.activity.log_ratio.min.5kb-20kb.enhancer_DMR,18mo.2mo.activity.log_ratio.median.5kb-20kb.enhancer_DMR,18mo.2mo.activity.log_ratio.median.20kb-5Mb.enhancer_DMR,9mo.2mo.contact.log_ratio.max.20kb-5Mb.enhancer_DMR,18mo.2mo.contact.log_ratio.min.5kb-20kb.enhancer_DMR,18mo.2mo.activity.log_ratio.count.5kb-20kb.enhancer_DMR,18mo.2mo.activity.log_ratio.max.5kb-20kb.enhancer_DMR,18mo.9mo.contact.log_ratio.median.20kb-5Mb.enhancer_DMR,18mo.9mo.contact.log_ratio.min.5kb-20kb.enhancer_DMR,18mo.9mo.activity.log_ratio.mean.20kb-5Mb.enhancer_DMR,18mo.2mo.contact.log_ratio.median.20kb-5Mb.enhancer_peak,18mo.9mo.contact.log_ratio.mean.20kb-5Mb.enhancer_peak,18mo.2mo.activity.log_ratio.count.0-5kb.enhancer_peak,9mo.2mo.activity.log_ratio.max.20kb-5Mb.enhancer_peak,18mo.2mo.contact.log_ratio.std.20kb-5Mb.enhancer_peak,18mo.9mo.contact.log_ratio.max.20kb-5Mb.enhancer_peak,9mo.2mo.contact.log_ratio.mean.20kb-5Mb.enhancer_peak,18mo.9mo.activity.log_ratio.std.20kb-5Mb.enhancer_peak,9mo.2mo.activity.log_ratio.min.20kb-5Mb.enhancer_peak,18mo.9mo.contact.log_ratio.min.5kb-20kb.enhancer_peak,18mo.9mo.contact.log_ratio.median.20kb-5Mb.enhancer_peak,18mo.2mo.activity.log_ratio.std.20kb-5Mb.enhancer_peak,count.enhancer_peak,18mo.9mo.contact.log_ratio.count.20kb-5Mb.enhancer_peak,18mo.2mo.activity.log_ratio.median.20kb-5Mb.enhancer_peak,18mo.2mo.activity.log_ratio.median.5kb-20kb.enhancer_peak,18mo.9mo.contact.log_ratio.std.20kb-5Mb.enhancer_peak,18mo.2mo.activity.log_ratio.min.20kb-5Mb.enhancer_peak,18mo.2mo.contact.log_ratio.count.0-5kb.enhancer_peak,18mo.9mo.contact.log_ratio.min.20kb-5Mb.enhancer_peak,9mo.2mo.contact.log_ratio.min.20kb-5Mb.enhancer_peak,9mo.2mo.contact.log_ratio.std.20kb-5Mb.enhancer_peak,18mo.2mo.activity.log_ratio.count.20kb-5Mb.enhancer_peak,18mo.9mo.activity.log_ratio.min.20kb-5Mb.enhancer_peak,9mo.2mo.contact.log_ratio.count.0-5kb.enhancer_peak,18mo.9mo.activity.log_ratio.median.20kb-5Mb.enhancer_peak,9mo.2mo.activity.log_ratio.mean.20kb-5Mb.enhancer_peak,18mo.2mo.activity.log_ratio.max.5kb-20kb.enhancer_peak,18mo.9mo.activity.log_ratio.min.5kb-20kb.enhancer_peak,18mo.2mo.contact.log_ratio.max.20kb-5Mb.enhancer_peak,18mo.2mo.contact.log_ratio.count.20kb-5Mb.enhancer_peak,18mo.9mo.contact.log_ratio.mean.5kb-20kb.enhancer_peak,18mo.2mo.activity.log_ratio.max.20kb-5Mb.enhancer_peak,18mo.9mo.contact.log_ratio.count.0-5kb.enhancer_peak,18mo.2mo.contact.log_ratio.min.20kb-5Mb.enhancer_peak,18mo.2mo.activity.log_ratio.mean.20kb-5Mb.enhancer_peak,9mo.2mo.activity.log_ratio.std.20kb-5Mb.enhancer_peak,9mo.2mo.activity.log_ratio.median.20kb-5Mb.enhancer_peak,18mo.2mo.log_ratio.DAR,9mo.2mo.log_ratio.DAR,rel_pos.DAR,count.DAR,18mo.9mo.log_ratio.DAR,count.DMR,size.log2.DMR,18mo.2mo.log_ratio.DMR,18mo.9mo.log_ratio.DMR,distance.log2.DMR,9mo.2mo.log_ratio.DMR,rel_pos.DMR,min_distance.log.min.loops,9mo.2mo.T.median.loops,18mo.9mo.Q.mean.loops,18mo.2mo.Q.mean.loops,Qanova.mean.loops,18mo.2mo.Q.min.loops,9mo.2mo.Q.std.loops,18mo.9mo.T.max.loops,Tanova.max.loops,18mo.2mo.T.mean.loops,min_distance.log.median.loops,9mo.2mo.T.mean.loops,18mo.2mo.Q.std.loops,count.loops,9mo.2mo.T.min.loops,18mo.2mo.Q.median.loops,18mo.9mo.Q.min.loops,loop_size.log.min.loops,Qanova.min.loops,Qanova.std.loops,min_distance.log.std.loops,18mo.9mo.T.median.loops,loop_size.log.mean.loops,min_distance.log.max.loops,loop_size.log.median.loops,9mo.2mo.Q.median.loops,9mo.2mo.T.max.loops,18mo.2mo.T.min.loops,18mo.9mo.T.mean.loops,9mo.2mo.Q.min.loops,Tanova.median.loops,18mo.2mo.T.std.loops,Tanova.mean.loops,loop_size.log.max.loops,18mo.2mo.T.max.loops,18mo.2mo.Q.max.loops,9mo.2mo.T.std.loops,18mo.9mo.Q.max.loops,Tanova.std.loops,Qanova.max.loops,loop_size.log.std.loops,Tanova.min.loops,18mo.9mo.T.std.loops,9mo.2mo.Q.max.loops,18mo.9mo.T.min.loops,min_distance.log.mean.loops,18mo.9mo.Q.std.loops,18mo.2mo.T.median.loops,Qanova.median.loops,9mo.2mo.Q.mean.loops,9mo.2mo.log_ratio.mcg_genebody,18mo.9mo.log_ratio.mcg_genebody,18mo.2mo.log_ratio.mcg_genebody,9mo.2mo.log_ratio.mch_genebody,18mo.9mo.log_ratio.mch_genebody,18mo.2mo.log_ratio.mch_genebody,9mo.2mo.log_ratio.max.atac,18mo.2mo.log_ratio.max.atac,18mo.9mo.log_ratio.max.atac,count.atac,18mo.9mo.log_ratio.std.atac,log2_distance.mean.atac,9mo.2mo.log_ratio.std.atac,9mo.2mo.log_ratio.mean.atac,log2_distance.max.atac,log2_distance.std.atac,18mo.2mo.log_ratio.mean.atac,9mo.2mo.log_ratio.min.atac,18mo.9mo.log_ratio.min.atac,18mo.9mo.log_ratio.mean.atac,log2_distance.min.atac,18mo.2mo.log_ratio.min.atac,18mo.2mo.log_ratio.std.atac,DEG,pred
Ccnj,0.07501576943323016,0.0,0.0,0.005293054580688477,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005137046501040458,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.012609630171209574,0.0,0.0,0.0,0.0,0.011802774183452129,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004244985096156597,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.03202897550538182,0.0,0.011266746893525123,0.002681061774492264,0.004955249391496181,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007446791641414165,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.012246624380350114,0.0,0.0,0.0,-0.0010714165214449167,0.0,0.0,0.0,0.0,0.0,0.0057376988232135774,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0010463781096041202,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005216253558173776,0.04511754298582673,0.0,0.0,0.0,0.0,0.002698194086551666,0.007089915126562119,0.0,0.022944074813276528,0.0,0.0,0.0,0.0,0.0,0.003307833708822727,0.005636205524206161,0.0,-0.004970369003713131,0.0,0.006674343124032021,0.0,0.0056766621023416515,1.0,0.0
Rbm7,0.08939169651828706,0.0,0.0,0.005293054580688477,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005137046501040458,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.00293104549869895,0.0,0.0,0.0,-0.018255733232945204,0.0,0.0,0.0,0.0,0.011802774183452129,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004244985096156597,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.032676939535886046,0.0,0.011266746893525123,0.002478920668363571,0.006873609125614166,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007446791641414165,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.012246624380350114,0.0,0.0,0.0,-0.0010714165214449167,0.0,0.0,0.0,0.0,0.0,-0.010705718658864499,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0001743963547050953,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.006821254659444094,0.05465636163949966,0.0,0.0,0.0,0.0,0.002698194086551666,0.007089915126562119,0.0,0.014964999733492731,0.0,0.0,0.0,0.0,0.0,0.007560762632638216,0.005636205524206161,0.0,-0.003252170141786337,0.0,0.009859921438619494,0.0,0.005373450443148613,1.0,0.0
Galnt14,-0.19150277195498347,0.0,0.0,0.002103995531797409,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0018003962561488152,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003739609718322754,0.0,0.0,0.0,-0.007528137415647507,0.0,0.0,0.0,0.0,0.004426040323451162,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0013137322664260865,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006998936422169208,0.0,0.0040238381829112765,0.016927095502614974,0.0017878239136189223,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002899514476303011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005102760158479214,0.0,0.0,0.0,0.0034438388189300894,0.0,0.0,0.0,0.0,0.0,0.07116769149899482,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0005231890641152859,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0024075016379356386,0.0274584625614807,0.0,0.0,0.0,0.0,0.002698194086551666,0.006182777136564255,0.0,-0.031213823333382608,0.0,0.0,0.0,0.0,0.0,-0.010159774925559759,0.008093956261873245,0.0,0.048295683413743976,0.0,0.0014087534043937921,0.0,0.02666522588580847,1.0,1.0
Fbxo33,0.07526819438673556,0.0,0.0,0.0011145174829289316,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001328916463535279,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.018255733232945204,0.0,0.0,0.0,0.0,-0.020185426329262554,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0012822144571691752,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009104819521307945,0.0,0.002690223306417465,0.0022916150093078612,-0.04689797963947058,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007446791641414165,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.012246624380350114,0.0,0.0,0.0,-0.003903017300181091,0.0,0.0,0.0,0.0,0.0,-0.010705718658864499,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0035751252714544533,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.033705023024231194,-0.007156295008026063,0.0,0.0,0.0,0.0,0.002698194086551666,0.00594030998647213,0.0,0.02911875618621707,0.0,0.0,0.0,0.0,0.0,0.007560762632638216,0.008093956261873245,0.0,0.00237713310867548,0.0,0.011333968173712492,0.0,-0.02112654309719801,1.0,0.0
Zc3hc1,0.08051765273325145,0.0,0.0,0.005293054580688477,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005137046501040458,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.012609630171209574,0.0,0.0,0.0,0.0,0.011802774183452129,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004244985096156597,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.014450522772967815,0.0,0.011266746893525123,0.002681061774492264,0.006873609125614166,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007446791641414165,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.012246624380350114,0.0,0.0,0.0,-0.0010714165214449167,0.0,0.0,0.0,0.0,0.0,-0.008761826567351819,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0001743963547050953,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005216253558173776,0.041281352788209914,0.0,0.0,0.0,0.0,0.002698194086551666,0.007536778897047043,0.0,0.022944074813276528,0.0,0.0,0.0,0.0,0.0,0.007560762632638216,0.008093956261873245,0.0,-0.004970369003713131,0.0,0.009859921438619494,0.0,0.0056766621023416515,1.0,1.0
Dnajc18,0.07400925549678504,0.0,0.0,0.005293054580688477,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005137046501040458,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.012609630171209574,0.0,0.0,0.0,0.0,0.011802774183452129,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004244985096156597,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.012020657658576966,0.0,0.011266746893525123,0.002681061774492264,0.004955249391496181,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007446791641414165,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.012246624380350114,0.0,0.0,0.0,-0.0010714165214449167,0.0,0.0,0.0,0.0,0.0,0.00460376176983118,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0010463781096041202,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005216253558173776,0.04180454172194004,0.0,0.0,0.0,0.0,0.002698194086551666,0.007536778897047043,0.0,0.022944074813276528,0.0,0.0,0.0,0.0,0.0,0.003307833708822727,0.008093956261873245,0.0,-0.004970369003713131,0.0,0.009859921438619494,0.0,0.0056766621023416515,1.0,1.0
Mospd1,0.03352291356772184,0.0,0.0,0.0014472606126219034,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.03118367068003863,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.018255733232945204,0.0,0.0,0.0,0.0,-0.02176807108335197,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0020778295397758484,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003593500144779682,0.0,-0.032995473286136986,0.002681061774492264,-0.09234143245965243,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0034208000265061856,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0055401396006345745,0.0,0.0,0.0,-0.0010714165214449167,0.0,0.0,0.0,0.0,0.0,-0.010705718658864499,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.01674204971641302,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005216253558173776,-0.01791913728695363,0.0,0.0,0.0,0.0,0.002698194086551666,0.005496338233351708,0.0,0.016168750748038294,0.0,0.0,0.0,0.0,0.0,0.007560762632638216,-0.06132569450885057,0.0,-0.004970369003713131,0.0,-0.0649853500816971,0.0,0.0056766621023416515,1.0,0.0
Smim8,0.06742847939021886,0.0,0.0,0.005293054580688477,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005137046501040458,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.012609630171209574,0.0,0.0,0.0,0.0,0.011802774183452129,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004244985096156597,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.014450522772967815,0.0,0.011266746893525123,0.002681061774492264,0.006873609125614166,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0034208000265061856,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0055401396006345745,0.0,0.0,0.0,-0.0010714165214449167,0.0,0.0,0.0,0.0,0.0,-0.008761826567351819,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0001743963547050953,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005216253558173776,0.03965089768171311,0.0,0.0,0.0,0.0,0.002698194086551666,0.007536778897047043,0.0,0.022944074813276528,0.0,0.0,0.0,0.0,0.0,0.007560762632638216,0.008093956261873245,0.0,-0.004970369003713131,0.0,-0.0649853500816971,0.0,0.0056766621023416515,1.0,0.0
Nub1,0.09061653988435864,0.0,0.0,0.005293054580688477,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005137046501040458,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.005963161308318377,0.0,0.0,0.0,0.012609630171209574,0.0,0.0,0.0,0.0,0.011802774183452129,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004244985096156597,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.014450522772967815,0.0,0.011266746893525123,0.0029390506446361543,0.004955249391496181,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007446791641414165,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.012246624380350114,0.0,0.0,0.0,-0.0010714165214449167,0.0,0.0,0.0,0.0,0.0,-0.011597112398594617,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0010463781096041202,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005216253558173776,0.04717132151126861,0.0,0.0,0.0,0.0,0.002698194086551666,0.007536778897047043,0.0,0.022944074813276528,0.0,0.0,0.0,0.0,0.0,-0.0016539168171584605,0.008093956261873245,0.0,0.002575937230139971,0.0,0.00462056465446949,0.0,0.005833580419421196,1.0,1.0
Prr13,-0.0979944027774036,0.0,0.0,0.002533851442858577,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005137046501040458,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.012609630171209574,0.0,0.0,0.0,0.0,0.011802774183452129,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004244985096156597,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.012020657658576966,0.0,0.0040238381829112765,0.002681061774492264,0.002311012940481305,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0032187905861064793,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005102760158479214,0.0,0.0,0.0,-0.0010714165214449167,0.0,0.0,0.0,0.0,0.0,0.00460376176983118,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0010463781096041202,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005216253558173776,0.006993474662303925,0.0,0.0,0.0,0.0,0.002698194086551666,0.007536778897047043,0.0,0.022944074813276528,0.0,0.0,0.0,0.0,0.0,0.003307833708822727,0.008093956261873245,0.0,-0.004970369003713131,0.0,0.01525680612307042,0.0,0.0056766621023416515,1.0,0.0
Tecpr1,0.07660923028364777,0.0,0.0,0.005293054580688477,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005137046501040458,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.00293104549869895,0.0,0.0,0.0,0.004516882449388504,0.0,0.0,0.0,0.0,0.011802774183452129,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004244985096156597,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009104819521307945,0.0,0.011266746893525123,0.002478920668363571,0.006873609125614166,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.06168983440846205,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005685932748019695,0.0,0.0,0.0,-0.0019897735118865967,0.0,0.0,0.0,0.0,0.0,-0.010705718658864499,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0001743963547050953,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0032100022584199907,0.058473937772214414,0.0,0.0,0.0,0.0,0.002698194086551666,0.007536778897047043,0.0,-0.05211344599723816,0.0,0.0,0.0,0.0,0.0,0.007560762632638216,0.008093956261873245,0.0,-0.003252170141786337,0.0,0.015116351936012507,0.0,0.005373450443148613,1.0,0.0
Crlf3,0.09192673903889954,0.0,0.0,0.005293054580688477,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0627963281981647,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.012609630171209574,0.0,0.0,0.0,0.0,0.004895468852482736,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0025204334408044813,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009104819521307945,0.0,0.011266746893525123,0.002681061774492264,0.006873609125614166,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007446791641414165,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.012246624380350114,0.0,0.0,0.0,-0.0010714165214449167,0.0,0.0,0.0,0.0,0.0,-0.013541004490107297,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0001743963547050953,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005216253558173776,0.03339216641150415,0.0,0.0,0.0,0.0,0.002698194086551666,0.006446232199668884,0.0,0.022944074813276528,0.0,0.0,0.0,0.0,0.0,-0.0016539168171584605,0.008093956261873245,0.0,-0.004970369003713131,0.0,0.009859921438619494,0.0,0.0056766621023416515,1.0,1.0
Eif3g,0.004287722920998931,0.0,0.0,0.005293054580688477,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005137046501040458,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.012609630171209574,0.0,0.0,0.0,0.0,0.011802774183452129,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004244985096156597,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009752783551812172,0.0,0.011266746893525123,0.002681061774492264,0.004955249391496181,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0032187905861064793,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005102760158479214,0.0,0.0,0.0,-0.0010714165214449167,0.0,0.0,0.0,0.0,0.0,0.0057376988232135774,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0010463781096041202,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005216253558173776,0.040346610229462385,0.0,0.0,0.0,0.0,0.002698194086551666,0.007536778897047043,0.0,0.022944074813276528,0.0,0.0,0.0,0.0,0.0,0.003307833708822727,0.008093956261873245,0.0,-0.004970369003713131,0.0,0.0060692996019497516,0.0,0.0056766621023416515,1.0,0.0
