gene,stats,fdr,log2(old/young),DEG,-log10(fdr)
Xkr4,23.941544561377363,4.423826573611506e-05,0.50092924,0,4.354201906929366
Mrpl15,3.1367944025240826,0.2908297425568797,-0.2695534,0,0.5363611811424044
Lypla1,23.22893928652525,5.995564765061444e-05,0.20797902,0,4.222169901339558
Tcea1,23.09185972460324,6.351177620771843e-05,-0.36397177,0,4.197145741355965
Rgs20,0.0943485585870619,0.964279285004299,0.009778226,0,0.0157971628091945
Gm16041,0.7006872068691743,0.7607322274675665,-0.06413212,0,0.1187681850137336
Atp6v1h,24.784143439658955,3.117861806128962e-05,0.16070947,0,4.506143138077798
Rb1cc1,9.820741118816844,0.0181287855379753,0.04079321,0,1.7416312886690806
4732440D04Rik,4.169190609180522,0.1908944766867789,-0.24607286,0,0.7192066372383702
St18,0.760791498207596,0.7426659687875128,-0.025732819,0,0.1292064763219316
Pcmtd1,30.27667658057579,3.189606193902927e-06,0.035798702,0,5.496262933987482
Gm26901,1.1795443780679262,0.6311106097233358,0.07108914,0,0.1998945187547629
Sntg1,4.549167061090798,0.1637524917586862,0.6580043,0,0.7858120827938024
Rrs1,11.972254808394096,0.007259109885825,-0.60991895,0,2.1391166293514523
Adhfe1,34.85037244252291,4.66263468650349e-07,0.08076159,0,6.331368609819092
2610203C22Rik,3.487270670515185,0.2513232828805869,-0.5497616,0,0.5997672759988653
Mybl1,1.9868806427513035,0.460430471800462,-0.47876897,0,0.3368359419995156
Vcpip1,11.182629326065138,0.0101486955754652,0.007815868,0,1.9935897745766495
1700034P13Rik,0.6193466117141911,0.7856805567578116,0.29837587,0,0.1047539942106799
Sgk3,15.931141286014414,0.0013370905869359,0.032939456,0,2.8738391685991047
Mcmdc2,3.372501780489583,0.2635852038564175,-0.66558594,0,0.5790789721655234
Snhg6,1.7202871050074056,0.5116015331148991,-0.12755601,0,0.2910681627423611
Ppp1r42,15.373157281528394,0.0016960451394665,0.14053243,0,2.7705625933762508
Cops5,7.958904751387544,0.0398617172085829,-0.26879016,0,1.3994439961988037
Cspp1,28.59673274971673,6.520119436586989e-06,0.21022424,0,5.185744448719679
Arfgef1,53.70434446050071,1.590642687978371e-10,0.33141327,1,9.798427366593009
Prex2,12.260622571804827,0.0064193827019455,-0.024710989,0,2.192506732371684
A830018L16Rik,8.92202676235025,0.0264417367829429,0.551182,0,1.577710022315136
Sulf1,3.494951568311421,0.2506459835934946,0.5371047,0,0.6009392502257043
Ncoa2,30.16187683643749,3.354125574664542e-06,0.23200877,0,5.4744206819317895
Tram1,8.710532377735555,0.028965430615005,-0.12067486,0,1.538120010671556
Lactb2,8.80699494741486,0.0277798880894137,0.18590833,0,1.556269508139367
Eya1,17.391926949083526,0.0007115596234903,-0.05450919,0,3.147788703354906
Kcnb2,3.3710228404263978,0.2637305131809892,0.07922727,0,0.578839620151582
Terf1,13.907392999781534,0.0031719752514786,0.081306264,0,2.498670209812255
4930444P10Rik,2.085496993113773,0.4427339652241823,-1.3888931,0,0.3538571589707754
Rpl7,7.527446184997565,0.0477500478388195,-0.24438837,0,1.3210261889781414
Rdh10,5.920242372114989,0.093664406046475,0.25037432,0,1.028425416523364
Stau2,26.177921530238383,1.7484368146285132e-05,0.0482384,0,4.75735005769503
Ube2w,10.56976444841209,0.0131801965188175,-0.0075936355,0,1.8800781142942269
Tmem70,9.59945995849976,0.0198331141411518,-0.37234467,0,1.702609088712841
Ly96,6.013362556987951,0.0901040031851944,0.13673209,0,1.0452559135423731
Gm28376,0.6742437610181446,0.7690404768298713,-0.29860607,0,0.1140508014193275
Jph1,7.16255556978386,0.0557060088917133,0.49631473,0,1.2540979558539052
Gdap1,2.156206150030147,0.4306984492247823,-0.2742974,0,0.3658266919576975
Gm28756,5.712506786466969,0.1019406862035254,3.6005883,0,0.9916524473276372
Mcm3,5.157411214562631,0.1278153892118015,-2.4974465,0,0.8934168531619677
Paqr8,44.92100063527154,6.926129899431672e-09,-0.28107294,0,8.159509367525606
Efhc1,13.811292154111795,0.0033055895626177,0.61963344,0,2.4807510714409244
Tram2,3.00513974475836,0.3064855631631327,0.5088305,0,0.5135899778707014
Tmem14a,17.067521897784935,0.0008218251105517,-0.3077455,0,3.0852205931697028
Gsta3,8.90348397505483,0.0266637923637917,0.32448438,0,1.5740780812711157
Gm28836,3.485977926375713,0.2514140536283092,0.8853946,0,0.5996104496308211
Kcnq5,14.86954405057792,0.0020998021107296,0.6381782,0,2.6778216320602115
Rims1,12.818690418889334,0.0050577973448063,0.48778498,0,2.2960385759001856
Gm29107,5.382342142090497,0.1166778673414157,0.8409408,0,0.9330115175886964
Ogfrl1,12.53799720887105,0.0057034303694554,-0.29647848,0,2.243863856184898
B3gat2,0.2842665086077595,0.8965787481001437,-0.10516143,0,0.0474115595726389
Smap1,29.215083643534825,4.963112642578521e-06,-0.03809085,0,5.304245867963037
Fam135a,36.780979981485096,2.0989446094299163e-07,0.14941625,0,6.677999022178128
Col9a1,6.069105597186159,0.0880891529532685,-1.15506,0,1.055077566077924
Col19a1,1.0156970764914597,0.6739019017556437,-0.97691303,0,0.1714033180446552
Lmbrd1,12.309933972844435,0.00628882751704,-0.03996297,0,2.20143031645367
